MLD,pMLD,activity
4.4,0.11,0.491760624
4.4375,0.1109375,0.382571732
4.6875,0.1171875,0.337927968
4.975,0.124375,0.369189907
4.9125,0.1228125,0.259340179
4.45,0.11125,0.376489459
4.0875,0.1021875,0.415795587
3.975,0.099375,0.333409768
5.3,0.1325,0.204674221
4.75,0.11875,0.222093023
4.4625,0.1115625,0.246390099
3.825,0.095625,0.223059361
4.05,0.10125,0.303879794
4.6125,0.1153125,0.285336273
4.5875,0.1146875,0.274696133
4.1625,0.1040625,0.297506449
5.3,0.1325,0.230346948
4.55,0.11375,0.257009346
5.7125,0.1428125,0.183463124
6.7375,0.1684375,0.288565022
7.775,0.194375,0.299911855
8.2,0.205,0.32112069
7.4125,0.1853125,0.326284675
7.45,0.18625,0.26878167
7.0375,0.1759375,0.167670011
7.1625,0.1790625,0.238129325
8.825,0.220625,0.209040844
8.5625,0.2140625,0.222530009
8.9875,0.2246875,0.126162923
9.1625,0.2290625,0.085526316
9.125,0.228125,0.189065013
9.2625,0.2315625,0.205151378
9.2375,0.2309375,0.15532444
8.6,0.215,0.236931432
8.4875,0.2121875,0.21436563
8.8625,0.2215625,0.21118153
7.6,0.19,0.220614828
6.8125,0.1703125,0.297271649
6.575,0.164375,0.181818182
6.9125,0.1728125,0.166857143
7.25,0.18125,0.148572766
8.0375,0.2009375,0.163020466
7.3,0.1825,0.143422584
7.3125,0.1828125,0.164125774
7.225,0.180625,0.162667282
8.2875,0.2071875,0.145773979
6.925,0.173125,0.082062455
7.6625,0.1915625,0.175167952
6.3875,0.1596875,0.102831941
6.425,0.160625,0.065078991
6.4875,0.1621875,0.062850183
6.575,0.164375,0.063218391
6.8625,0.1715625,0.046726697
6.725,0.168125,0.030009921
6.2,0.155,0.012801205
6.7625,0.1690625,0.02724595
6.0125,0.1503125,0.080617069
5.7,0.1425,0.096085409
6.15,0.15375,0.120049505
6.8,0.17,0.280310621
6.6875,0.1671875,0.208528469
6.8625,0.1715625,0.20999053
6.9,0.1725,0.141411708
6.95,0.17375,0.230862697
6.8875,0.1721875,0.237490847
5.35,0.13375,0.23266716
6.375,0.159375,0.148776351
5.675,0.141875,0.122512587
5.775,0.144375,0.212032994
5.125,0.128125,0.359433962
5.175,0.129375,0.324669403
5.7375,0.1434375,0.216118048
5.4125,0.1353125,0.306823421
6.8875,0.1721875,0.177910053
6.95,0.17375,0.242775936
5.5875,0.1396875,0.109356861
6.7625,0.1690625,0.136188643
5.35,0.13375,0.220677883
6.4,0.16,0.119116934
6.3,0.1575,0.186699507
6.45,0.16125,0.106245513
6.4375,0.1609375,0.17208413
6.1125,0.1528125,0.087912088
5.2125,0.1303125,0.106559376
5.3625,0.1340625,0.147646044
5.425,0.135625,0.112432937
5.4,0.135,0.059003291
5.5125,0.1378125,0.085720887
5.65,0.14125,0.082851192
5.3625,0.1340625,0.118727915
5.375,0.134375,0.100709545
5.225,0.130625,0.162066525
6.4375,0.1609375,0.20124338
5.7875,0.1446875,0.153291056
6.5375,0.1634375,0.13025394
6.2375,0.1559375,0.088690346
5.8125,0.1453125,0.134175048
5.375,0.134375,0.147135417
6.75,0.16875,0.271623672
6.6125,0.1653125,0.279525862
6.325,0.158125,0.316673942
4.85,0.12125,0.311676714
5.95,0.14875,0.412519018
5.675,0.141875,0.271026116
5.225,0.130625,0.300733496
5.6125,0.1403125,0.327085088
6.5875,0.1646875,0.259480627
4.4,0.11,0.311073542
6.3125,0.1578125,0.220230738
6.175,0.154375,0.197793046
6.7125,0.1678125,0.17727656
4.95,0.12375,0.22407751
5.3875,0.1346875,0.195042
5.8625,0.1465625,0.191405439
6.575,0.164375,0.128288803
6.6375,0.1659375,0.167392657
7.6625,0.1915625,0.135014233
7.625,0.190625,0.120135701
7.5875,0.1896875,0.135693215
7.6625,0.1915625,0.075941677
7.5875,0.1896875,0.111615432
7.5375,0.1884375,0.066530612
7.65,0.19125,0.074673304
7.4125,0.1853125,0.08177137
7.7875,0.1946875,0.144826167
6.2,0.155,0.109489051
7.2375,0.1809375,0.099247227
7.3625,0.1840625,0.083981337
5.8625,0.1465625,0.166203336
6.6375,0.1659375,0.125374326
7.6375,0.1909375,0.090677134
7.8,0.195,0.136569071
6.775,0.169375,0.189189189
5.825,0.145625,0.271594509
5.9875,0.1496875,0.345942648
7.7375,0.1934375,0.342875184
6.2125,0.1553125,0.380682966
6.9625,0.1740625,0.282877406
8.0625,0.2015625,0.399363057
8.7125,0.2178125,0.340932015
8.1625,0.2040625,0.313980583
8.1125,0.2028125,0.292473548
6.125,0.153125,0.274756494
6.0125,0.1503125,0.243615323
6.7875,0.1696875,0.190839695
6.7875,0.1696875,0.186568687
7.5125,0.1878125,0.126001603
6.7,0.1675,0.140073082
6.575,0.164375,0.11977887
