MLD,pMLD,activity
17.2625,0.34525,0.264882067
20.725,0.4145,0.115154909
21.6375,0.43275,0.133913372
22.2625,0.44525,0.119298246
24.45,0.489,0.07981312
23.75,0.475,0.13090257
23.5375,0.47075,0.088051542
23.8375,0.47675,0.140220662
23.65,0.473,0.069629042
23,0.46,0.102115541
22.2,0.444,0.09378338
21.525,0.4305,0.096545806
20.8,0.416,0.158716758
20.475,0.4095,0.166908263
21.175,0.4235,0.178882726
20.6375,0.41275,0.191505942
21.6875,0.43375,0.164277412
20.9625,0.41925,0.166467305
19.9375,0.39875,0.098960339
18.65,0.373,0.193311582
15.7625,0.31525,0.241413738
17.425,0.3485,0.19085916
18.275,0.3655,0.24510978
17.25,0.345,0.155763824
17.525,0.3505,0.207342995
13.9,0.278,0.30825379
10.8875,0.21775,0.320368283
10.05,0.201,0.358649789
10.6125,0.21225,0.324598183
11.4,0.228,0.259800428
14.5,0.29,0.30987493
14.875,0.2975,0.353889775
15.2,0.304,0.270480226
16.075,0.3215,0.269294529
17.2625,0.34525,0.230742297
17.45,0.349,0.306546035
18.35,0.367,0.278740157
19.075,0.3815,0.215471629
19.5,0.39,0.245489443
17.7,0.354,0.248189366
17.625,0.3525,0.281164195
17.2625,0.34525,0.227881565
16.3625,0.32725,0.254420787
15.675,0.3135,0.244497873
16.45,0.329,0.264789804
15.7375,0.31475,0.238553779
15.575,0.3115,0.186443825
17.075,0.3415,0.114841314
17.1875,0.34375,0.176121119
16.5375,0.33075,0.182757325
18.175,0.3635,0.160660091
18.625,0.3725,0.151989683
18.95,0.379,0.145099541
16.9375,0.33875,0.177893922
14.875,0.2975,0.264448669
15.6375,0.31275,0.200684561
17.6,0.352,0.143195051
19.7375,0.39475,0.078994939
19.2375,0.38475,0.099416306
17.675,0.3535,0.100841908
17.825,0.3565,0.115298507
18.25,0.365,0.103684503
18.1125,0.36225,0.162454874
17.55,0.351,0.164811097
15.65,0.313,0.109269714
17.3125,0.34625,0.216434336
18.3125,0.36625,0.176709666
17.1625,0.34325,0.218767148
18.075,0.3615,0.146055624
18.6875,0.37375,0.175062972
20.2125,0.40425,0.16300885
18.8,0.376,0.131657585
17.9875,0.35975,0.125180636
18.575,0.3715,0.101878613
19.3,0.386,0.072399032
18.85,0.377,0.111240085
18.9125,0.37825,0.09170063
17.975,0.3595,0.154895366
18.225,0.3645,0.099888185
18.4125,0.36825,0.078983117
18.3625,0.36725,0.162645914
19.9125,0.39825,0.069575028
18.975,0.3795,0.092257942
20.2375,0.40475,0.016641163
19.525,0.3905,0.029360967
20.45,0.409,0.028652751
20.775,0.4155,0
20.9375,0.41875,0
20.9,0.418,0.037107881
20.875,0.4175,0.065997684
20.825,0.4165,0.087943533
20.8625,0.41725,0.084733247
20.8125,0.41625,0.072469113
20.9,0.418,0.074886536
20.825,0.4165,0.067962929
20.475,0.4095,0.065984281
20.3625,0.40725,0.110865154
20.525,0.4105,0.052173913
20.15,0.403,0.095351391
19.525,0.3905,0.170301708
17.8125,0.35625,0.127864678
18.15,0.363,0.119000539
19.475,0.3895,0.078550405
19.075,0.3815,0.100057285
19.5375,0.39075,0.092967599
19.2125,0.38425,0.147784165
18,0.36,0.11790393
19.925,0.3985,0.120533235
19.2625,0.38525,0.096088755
17.8625,0.35725,0.092720307
19.225,0.3845,0.080657792
19.5125,0.39025,0.087066124
17.8375,0.35675,0.110001957
17.3,0.346,0.136372198
18.7875,0.37575,0.109220637
19.025,0.3805,0.10215664
18.6375,0.37275,0.098634294
17.275,0.3455,0.180272744
18.3125,0.36625,0.170779336
19.1625,0.38325,0.083069898
19,0.38,0.14841629
18.05,0.361,0.230894899
17.45,0.349,0.155982533
16.875,0.3375,0.173465638
17.525,0.3505,0.186263736
17.2625,0.34525,0.202760846
18.375,0.3675,0.160775784
15.9875,0.31975,0.277757353
17.05,0.341,0.183379598
17.875,0.3575,0.161284404
17.625,0.3525,0.189009009
18.025,0.3605,0.161077417
16.2875,0.32575,0.108572473
15.3,0.306,0.134881978
14.6125,0.29225,0.192833395
14.35,0.287,0.166725852
12.9,0.258,0.195139258
11.5375,0.23075,0.255007418
11.6375,0.23275,0.281949458
10.3,0.206,0.292704469
13.4875,0.26975,0.267585207
9.7625,0.19525,0.337388778
10.4125,0.20825,0.277412281
10.2375,0.20475,0.318105224
11.5375,0.23075,0.239992884
11.75,0.235,0.336691702
12.6625,0.25325,0.281837916
10.125,0.2025,0.388960205
13.2375,0.26475,0.224468814
13.475,0.2695,0.18925739
13.925,0.2785,0.179563125
12.8875,0.25775,0.212244145
14.6375,0.29275,0.189810557
14.4125,0.28825,0.232507289
13.5125,0.27025,0.178427049
14.1875,0.28375,0.201165633
14.125,0.2825,0.164275466
12.7,0.254,0.20754717
15.725,0.3145,0.122613253
16.7375,0.33475,0.125858124
16.3125,0.32625,0.170070624
16.975,0.3395,0.168560606
18.5875,0.37175,0.175004756
19.025,0.3805,0.172562893
18.925,0.3785,0.132710644
19.1375,0.38275,0.153221126
19.6125,0.39225,0.109260992
19.2125,0.38425,0.121102662
19.3,0.386,0.09929078
21.1625,0.42325,0.078967066
21.675,0.4335,0.037256719
20.0625,0.40125,0.120324896
20.875,0.4175,0.103378254
18.4375,0.36875,0.154263276
19.625,0.3925,0.120966288
17.2375,0.34475,0.137771185
15.5625,0.31125,0.178278689
18.375,0.3675,0.144282283
20.5375,0.41075,0.089145158
19.8875,0.39775,0.080314673
21.4875,0.42975,0.069422364
21.2375,0.42475,0.073056058
21.5125,0.43025,0.109340659
21.325,0.4265,0.177250138
22.025,0.4405,0.072860723
21.925,0.4385,0.093581395
23.3375,0.46675,0.052102717
23.05,0.461,0.088076923
22.2,0.444,0.068874671
23.1125,0.46225,0.068612585
23.425,0.4685,0.082860386
22.425,0.4485,0.062025797
21.5875,0.43175,0.073866816
23.925,0.4785,0.048941799
23.7375,0.47475,0.037370892
23.85,0.477,0.034285714
21.875,0.4375,0.057866868
21.0625,0.42125,0.065105654
22.4125,0.44825,0.057436857
22.3375,0.44675,0.020729367
22.325,0.4465,0
20.3875,0.40775,0.071185157
19.325,0.3865,0.139295393
20.6875,0.41375,0.101722575
21.7875,0.43575,0.073537403
21.7875,0.43575,0.045176386
21.8875,0.43775,0.068843941
19.1125,0.38225,0.158668155
18.925,0.3785,0.098920863
18.3625,0.36725,0.135469774
18.05,0.361,0.119733925
19.3,0.386,0.110079576
20.8625,0.41725,0.10217665
22.525,0.4505,0.144241521
21.9375,0.43875,0.083485235
22.9625,0.45925,0.054004069
23.6625,0.47325,0.04440333
23.1,0.462,0.016396497
22.775,0.4555,0.035807535
22.925,0.4585,0.023029395
20.2625,0.40525,0.057874235
21.2125,0.42425,0.078183172
22.125,0.4425,0.110840667
21.3,0.426,0.101795299
21.4875,0.42975,0.09282935
21.7875,0.43575,0.07355099
21.6,0.432,0.125093214
22.9125,0.45825,0.122038765
21.9625,0.43925,0.093944237
18.875,0.3775,0.124471086
20.4875,0.40975,0.078849227
18.7125,0.37425,0.133061658
20.65,0.413,0.114085739
19.775,0.3955,0.075057943
18.4625,0.36925,0.073717949
17.85,0.357,0.09502425
19.7375,0.39475,0.061028613
19.0125,0.38025,0.085321764
17.7,0.354,0.151901071
17.45,0.349,0.120915636
17.4875,0.34975,0.188597285
16.1,0.322,0.17039801
15.25,0.305,0.149063807
14.7375,0.29475,0.149015236
16.275,0.3255,0.11739048
17.5875,0.35175,0.112134561
17.3875,0.34775,0.157140051
19.35,0.387,0.121420165
19.45,0.389,0.118731988
19.625,0.3925,0.107894264
20.125,0.4025,0.130305839
20.275,0.4055,0.127046263
20.375,0.4075,0.125
20.5875,0.41175,0.090578322
20.25,0.405,0.04342791
19.8875,0.39775,0.106931098
19.225,0.3845,0.094480456
18.825,0.3765,0.127518131
17.3625,0.34725,0.161593913
19.575,0.3915,0.118335251
19.8,0.396,0.134064243
19.6,0.392,0.085788885
18.3875,0.36775,0.119953416
19.8375,0.39675,0.097973638
19.225,0.3845,0.078962876
21.1,0.422,0.037072981
20.8625,0.41725,0.071329227
21.075,0.4215,0.051627817
20.6,0.412,0.064177363
21.525,0.4305,0.058180398
20.725,0.4145,0.028126188
21.6625,0.43325,0.037288794
21.775,0.4355,0
21.275,0.4255,0.03670265
21.5125,0.43025,0.087803937
19.65,0.393,0.120342205
17.85,0.357,0.12122905
19,0.38,0.083693812
20.275,0.4055,0.082207422
20,0.4,0.014561271
19,0.38,0.093641618
18.55,0.371,0.086655113
19.775,0.3955,0.060252672
19.575,0.3915,0.077705295
18.5125,0.37025,0.079182156
18.3125,0.36625,0.072946042
18.425,0.3685,0.086200232
19.7125,0.39425,0.089977221
18.1875,0.36375,0.128214616
18.8,0.376,0.09811181
19.15,0.383,0.140128593
18.7875,0.37575,0.124952884
17.9125,0.35825,0.101958525
18,0.36,0.139317705
18.45,0.369,0.103255635
17.7375,0.35475,0.126086957
17.1625,0.34325,0.103593693
15.8625,0.31725,0.188322521
15.5875,0.31175,0.178669098
14.325,0.2865,0.224011713
14.725,0.2945,0.248610312
15.2125,0.30425,0.201391501
11.8,0.236,0.223152801
10.1125,0.20225,0.300308474
8.3125,0.16625,0.328352962
9.2375,0.18475,0.2321489
11.675,0.2335,0.312301166
10.3,0.206,0.266383701
8.825,0.1765,0.263617318
9,0.18,0.330601093
10.275,0.2055,0.328894807
12.4625,0.24925,0.236929737
13.6875,0.27375,0.20718707
13.6125,0.27225,0.32067059
14.1875,0.28375,0.237435897
13.65,0.273,0.200583891
15.5,0.31,0.168238994
15.275,0.3055,0.13682243
12.6,0.252,0.253414544
13.9,0.278,0.150970018
13.6125,0.27225,0.260464266
14.0875,0.28175,0.239754468
14.4,0.288,0.205813745
16.6625,0.33325,0.222361584
16.2875,0.32575,0.217944061
15.6875,0.31375,0.142434783
16.35,0.327,0.245310245
17.0625,0.34125,0.214744146
16.6375,0.33275,0.214359327
16.6375,0.33275,0.156873219
17.025,0.3405,0.243972445
19.525,0.3905,0.197347195
19.825,0.3965,0.235391097
18.0375,0.36075,0.086436861
17.925,0.3585,0.161184808
17.5625,0.35125,0.210784314
17.4625,0.34925,0.188762394
20.25,0.405,0.089339207
19.3,0.386,0.116129032
17.4125,0.34825,0.13386832
18.425,0.3685,0.133600291
19.0875,0.38175,0.140808344
16.525,0.3305,0.112855007
16.775,0.3355,0.167386812
16.35,0.327,0.129698549
16.1375,0.32275,0.244340505
17.1,0.342,0.163346614
18.325,0.3665,0.165371809
18.2,0.364,0.105075857
17.875,0.3575,0.175050673
18.725,0.3745,0.09767106
16.925,0.3385,0.163313826
18.225,0.3645,0.1612788
18.675,0.3735,0.07952434
17.5875,0.35175,0.208031233
20.1875,0.40375,0.12537092
21.525,0.4305,0.103703704
19.35,0.387,0.133258887
17.5625,0.35125,0.135069767
16.575,0.3315,0.146435808
14.875,0.2975,0.168231047
11.7875,0.23575,0.262349067
13.1625,0.26325,0.258516678
13.8625,0.27725,0.201608673
14.475,0.2895,0.258171135
17.0375,0.34075,0.222080757
17.9375,0.35875,0.160072595
16.875,0.3375,0.114
17.8,0.356,0.084330892
16.05,0.321,0.097161572
16.6375,0.33275,0.068119891
15.025,0.3005,0.117287382
16.3875,0.32775,0.129181297
14.4,0.288,0.154978198
16.75,0.335,0.097092704
13.8125,0.27625,0.231344679
13.95,0.279,0.175177305
12.7625,0.25525,0.228231476
14.85,0.297,0.152911301
14.725,0.2945,0.109117014
13.525,0.2705,0.162192187
13.6625,0.27325,0.16159459
14.3875,0.28775,0.168589175
14.5,0.29,0.259353433
14.8,0.296,0.171285071
16.7125,0.33425,0.141509434
15.0375,0.30075,0.119010005
16.0875,0.32175,0.183629893
15.425,0.3085,0.184722732
14.0625,0.28125,0.219457854
15.75,0.315,0.112334802
17,0.34,0.083989501
13.0625,0.26125,0.119459053
13.8,0.276,0.085790885
13.2,0.264,0.156025689
13.8375,0.27675,0.099409812
14.1625,0.28325,0.098823976
14.6375,0.29275,0.099068264
13.9,0.278,0.191986327
14.575,0.2915,0.125698324
14.55,0.291,0.134760938
15.9625,0.31925,0.05627786
15.9375,0.31875,0.039955605
13.7125,0.27425,0.171519224
14.3875,0.28775,0.151685393
13.6125,0.27225,0.194489759
14.775,0.2955,0.14848883
14.525,0.2905,0.140386385
15.125,0.3025,0.166938258
17.3375,0.34675,0.123613312
15.575,0.3115,0.119585002
13.55,0.271,0.186158401
15.2625,0.30525,0.160341384
13.65,0.273,0.199160692
13.7875,0.27575,0.225115947
