MLD,pMLD,activity
3.0875,0.096484375,0.245993937
2.5125,0.078515625,0.415326395
2.1125,0.066015625,0.379494655
1.575,0.04921875,0.584925142
1.4875,0.046484375,0.424038462
1.5,0.046875,0.518554217
1.4875,0.046484375,0.366984993
1.9625,0.061328125,0.438316401
1.375,0.04296875,0.401600753
1.525,0.04765625,0.434938525
2.275,0.07109375,0.551311551
1.95,0.0609375,0.390417036
2.375,0.07421875,0.362422084
2.575,0.08046875,0.344315545
1.9625,0.061328125,0.256967407
2.3,0.071875,0.36988378
2.4,0.075,0.307909605
3.2,0.1,0.118514993
3.1375,0.098046875,0.167145594
3.1625,0.098828125,0.276648488
3.2625,0.101953125,0.08156682
3.3,0.103125,0.253320216
2.9875,0.093359375,0.269192423
3.075,0.09609375,0.205298013
2.8625,0.089453125,0.167681499
3.0375,0.094921875,0.171990172
4,0.125,0.196486362
3.575,0.11171875,0.213921114
4.175,0.13046875,0.194299287
3.8875,0.121484375,0.099158092
4.125,0.12890625,0.168441433
4.7875,0.149609375,0.150705645
4.8,0.15,0.248861912
4.6,0.14375,0.171136031
4.1375,0.129296875,0.249876299
4.45,0.1390625,0.228921819
4,0.125,0.250371839
4.2625,0.133203125,0.28606357
2.2875,0.071484375,0.230491655
2.65,0.0828125,0.218374885
4.15,0.1296875,0.198448905
3.1125,0.097265625,0.145199063
2.375,0.07421875,0.109794989
3.95,0.1234375,0.150141643
2.75,0.0859375,0.102988506
4.125,0.12890625,0.133364312
4.325,0.13515625,0.034514496
5.15,0.1609375,0.084261501
5.65,0.1765625,0.034851301
5.8,0.18125,0.031368821
5.025,0.15703125,0.025139665
4.025,0.12578125,0.055715658
5.575,0.17421875,0.028007346
5.0125,0.156640625,0.112249878
5.15,0.1609375,0.089063221
5.0375,0.157421875,0.054545455
5.7125,0.178515625,0.085167464
3.7125,0.116015625,0
5.0375,0.157421875,0.046557702
5.2,0.1625,0.055145249
5.1625,0.161328125,0.093925472
4.925,0.15390625,0.07340372
5.05,0.1578125,0.030405405
5.0125,0.156640625,0.030318343
5.1875,0.162109375,0.056231003
5.0625,0.158203125,0.025290845
5.05,0.1578125,0.149801587
5.175,0.16171875,0.170618317
4.3625,0.136328125,0.202364066
4.2,0.13125,0.17208238
5.0625,0.158203125,0.194767442
4.35,0.1359375,0.241032999
3.4375,0.107421875,0.31547619
3.2375,0.101171875,0.13253012
2.125,0.06640625,0.358549223
2.2375,0.069921875,0.595640327
1.8875,0.058984375,0.518094366
0.9125,0.028515625,0.37405303
1.0125,0.031640625,0.399813607
2.0375,0.063671875,0.660253165
1.1,0.034375,0.385304659
0.9375,0.029296875,0.593401015
0.925,0.02890625,0.495408632
1.1125,0.034765625,0.407596109
1.5875,0.049609375,0.357789424
2.275,0.07109375,0.392634855
2.55,0.0796875,0.212001968
3.6125,0.112890625,0.357668067
3.95,0.1234375,0.138163816
2.6625,0.083203125,0.176904177
3.3875,0.105859375,0.125831202
2.6,0.08125,0.438709677
2.275,0.07109375,0.398854962
3.675,0.11484375,0.160689334
2.8625,0.089453125,0.102040816
3.8625,0.120703125,0.139567669
4.8,0.15,0.141325536
4.075,0.12734375,0.190684134
3.5125,0.109765625,0.076693227
5.45,0.1703125,0.083043262
5.125,0.16015625,0.115816327
5.175,0.16171875,0.107160253
4.375,0.13671875,0.121819961
6.3625,0.198828125,0.095399516
6.8625,0.214453125,0.195033626
6.1875,0.193359375,0.058617234
5.2125,0.162890625,0.240585774
5.5125,0.172265625,0.069148936
5.55,0.1734375,0.106531049
4.925,0.15390625,0.140280561
3.95,0.1234375,0.216623377
