MLD,pMLD,activity
6.0875,0.304375,0.349378882
4.125,0.20625,0.536373507
5.4625,0.273125,0.380080137
5.5875,0.279375,0.241471215
6.9375,0.346875,0.167237443
7,0.35,0.322368421
7.05,0.3525,0.114857143
6.15,0.3075,0.170114943
5.7,0.285,0.2
7.8625,0.393125,0.037225042
7.175,0.35875,0.169604863
5.075,0.25375,0.173787529
5.4125,0.270625,0.398823529
5.9375,0.296875,0.336527621
6.7125,0.335625,0.360857909
6.7625,0.338125,0.167110165
6.3375,0.316875,0.296722254
7.9,0.395,0.203048449
7.4625,0.373125,0.22465088
7.2375,0.361875,0.229679803
9.9875,0.499375,0.080878105
8.4625,0.423125,0.188588589
5.9,0.295,0.240166865
6.6375,0.331875,0.320505111
5.2375,0.261875,0.367723343
5.3,0.265,0.275431291
5.675,0.28375,0.302570864
5.8125,0.290625,0.377311961
6.8625,0.343125,0.223970944
7.15,0.3575,0.1125
7.525,0.37625,0.29825694
8.6625,0.433125,0.153674833
8.525,0.42625,0.182435964
8.0375,0.401875,0.173289183
8.0625,0.403125,0.078388677
7.9375,0.396875,0.037195122
7.4375,0.371875,0.18769422
6.45,0.3225,0.187839305
5.5,0.275,0.2109375
5.625,0.28125,0.303707743
5.825,0.29125,0.199066874
5.4,0.27,0.257401813
6.5375,0.326875,0.328316611
7.125,0.35625,0.300443459
6.6625,0.333125,0.255555556
3.775,0.18875,0.196906603
4.3125,0.215625,0.196731235
3.3,0.165,0.47759434
6.325,0.31625,0.301552106
7.575,0.37875,0.186137507
7.325,0.36625,0.151986183
7.4875,0.374375,0.042958129
7.45,0.3725,0.135681293
7.3125,0.365625,0.155963303
7.725,0.38625,0.105927552
7.775,0.38875,0.113122172
8.4125,0.420625,0
8.9875,0.449375,0.056670602
8.975,0.44875,0.07259426
8.85,0.4425,0.052834342
8.05,0.4025,0.112365895
8.3625,0.418125,0.115806806
8.225,0.41125,0
8.225,0.41125,0
8.2625,0.413125,0
8.2125,0.410625,0.02852349
7.5,0.375,0
7.6375,0.381875,0
7.7125,0.385625,0
6.725,0.33625,0.053881808
7.5625,0.378125,0.030716724
6.55,0.3275,0.062569832
5.35,0.2675,0.091370558
4.9,0.245,0.130287648
4.4625,0.223125,0.136233543
2.4375,0.121875,0.415736935
2.0875,0.104375,0.36455246
2.125,0.10625,0.645420792
2.1625,0.108125,0.276342975
3.05,0.1525,0.269480519
2.1375,0.106875,0.363695937
2.15,0.1075,0.351600985
3.8125,0.190625,0.408793821
3.8125,0.190625,0.226507333
3.325,0.16625,0.283478261
3.775,0.18875,0.400948992
4.1625,0.208125,0.282373075
4.7375,0.236875,0.126984127
4.5375,0.226875,0.193063584
3.675,0.18375,0.139589443
5.2125,0.260625,0.081453634
4.85,0.2425,0.190755208
4.875,0.24375,0.337271116
5.4875,0.274375,0.249725576
5.55,0.2775,0.100327154
4.15,0.2075,0.256217467
5.275,0.26375,0.113314448
4.4875,0.224375,0.249150623
5.2625,0.263125,0.138202247
4.3125,0.215625,0.203223949
4.4,0.22,0.135165451
4.225,0.21125,0.121606335
5.4375,0.271875,0.039677976
4.4,0.22,0.147871116
5.0625,0.253125,0.203107658
3.9375,0.196875,0.396499698
3.65,0.1825,0.274792244
2.3625,0.118125,0.316143498
3.7875,0.189375,0.156626506
4.35,0.2175,0.142322097
5.1625,0.258125,0.073860358
5.45,0.2725,0.086538462
5.1,0.255,0.120947631
4.9125,0.245625,0.075694855
5.1875,0.259375,0.235560589
5.95,0.2975,0.25617284
6.1625,0.308125,0.137254902
6.175,0.30875,0.176839703
7.2375,0.361875,0.185595568
7.6,0.38,0.172522286
7.9625,0.398125,0.102860286
8.525,0.42625,0.044261451
8.5875,0.429375,0
7.475,0.37375,0.16347731
7.2375,0.361875,0.053723404
5.7125,0.285625,0.063399041
3.775,0.18875,0.161070304
3.6125,0.180625,0.312939903
3.7625,0.188125,0.182572614
4.175,0.20875,0.275918815
4.1875,0.209375,0.217299578
4.1375,0.206875,0.167821782
4,0.2,0.114678899
3.075,0.15375,0.297461369
2.6125,0.130625,0.237820849
2.55,0.1275,0.307277628
2.2375,0.111875,0.39627522
2.6125,0.130625,0.279483037
3.65,0.1825,0.113471503
4.475,0.22375,0.051807879
2.7125,0.135625,0.178294574
