MLD,pMLD,activity
13.7,0.11512605,0.075823552
15.3375,0.128886555,0.057663874
16.1875,0.136029412,0.055696449
16.1875,0.136029412,0.077261184
16.4,0.137815126,0.072289157
16.65,0.139915966,0.050760399
16.5375,0.138970588,0.057066296
16.25,0.136554622,0.056384422
16.8625,0.141701681,0.011399865
16.8125,0.141281513,0.01268888
16.975,0.142647059,0.014247466
17.0625,0.143382353,0.010909442
17.1125,0.143802521,0.029171079
17.025,0.143067227,0.034072368
16.9875,0.142752101,0.03575559
17.025,0.143067227,0.038127413
17.075,0.143487395,0.055268694
16.975,0.142647059,0.04194582
16.8625,0.141701681,0.038722826
17,0.142857143,0.06950187
16.9375,0.142331933,0.044556864
17.0375,0.143172269,0.049439298
16.975,0.142647059,0.083069544
16.9875,0.142752101,0.058626305
17.1,0.143697479,0.065962554
17.2625,0.145063025,0.069222076
17.25,0.144957983,0.054647405
17.1375,0.144012605,0.117290384
13.9875,0.117542017,0.153905946
10.4375,0.087710084,0.211538462
10,0.084033613,0.263565891
11.275,0.094747899,0.328882438
8.4,0.070588235,0.337639631
9.4625,0.079516807,0.253089331
10.85,0.091176471,0.273503444
12.3625,0.103886555,0.228054995
12.275,0.103151261,0.160739823
12.65,0.106302521,0.184263233
15,0.12605042,0.223115193
15.6375,0.131407563,0.108770257
15.5125,0.130357143,0.131454957
16.05,0.13487395,0.091483823
16.0625,0.134978992,0.101738632
15.9,0.133613445,0.107661056
16.225,0.136344538,0.046579743
16.275,0.136764706,0.049532092
15.975,0.134243697,0.063550519
15.0125,0.126155462,0.04909754
14.7125,0.123634454,0.042492918
14.7875,0.124264706,0.031116996
14.725,0.123739496,0.073811549
15.2375,0.128046218,0.053053613
14.925,0.125420168,0.095010765
15.3625,0.129096639,0.095273818
15.7875,0.132668067,0.128233971
15.775,0.132563025,0.090383899
15.9875,0.134348739,0.122544434
15.9625,0.134138655,0.093137255
15.825,0.132983193,0.100084499
15.825,0.132983193,0.102554435
15.9625,0.134138655,0.085233751
15.95,0.134033613,0.124506119
15.5125,0.130357143,0.137577581
15.3625,0.129096639,0.198464707
14.4625,0.121533613,0.14529439
13.125,0.110294118,0.188783797
10.325,0.086764706,0.173607817
7.75,0.06512605,0.197916667
10.6125,0.089180672,0.229556463
8.875,0.074579832,0.246386396
10.5625,0.088760504,0.178273245
11.4625,0.096323529,0.223079148
11.1,0.093277311,0.225442989
10.0125,0.084138655,0.213861765
11.1875,0.094012605,0.199271981
10.8125,0.090861345,0.157409206
11.1125,0.093382353,0.156641975
12.25,0.102941176,0.153666147
11.85,0.099579832,0.124879923
12.7125,0.106827731,0.150478796
