MLD,pMLD,activity
26.6125,0.244151376,0.187294427
26.175,0.240137615,0.169734904
28.5625,0.262041284,0.129820649
30.3625,0.278555046,0.095764273
29.1875,0.267775229,0.109099663
25.975,0.238302752,0.143759571
25.075,0.230045872,0.166762673
25.2875,0.231995413,0.131280077
25.75,0.236238532,0.132001529
19.2,0.176146789,0.224020688
13.325,0.122247706,0.288730412
14.625,0.134174312,0.254278274
16.55,0.151834862,0.214474429
18.6,0.170642202,0.227190562
21.8375,0.200344037,0.187983399
21.8875,0.200802752,0.159402477
21.2875,0.195298165,0.146828844
21.4125,0.196444954,0.19722488
22.25,0.20412844,0.132584056
21.1,0.193577982,0.185321649
21.025,0.192889908,0.172917869
19.875,0.18233945,0.125755287
24.0125,0.220298165,0.156829361
24.7875,0.227408257,0.144369219
23.5875,0.216399083,0.168782458
22.3875,0.205389908,0.142954127
22.65,0.207798165,0.139104874
23.325,0.213990826,0.144027434
21.8375,0.200344037,0.153316351
24.55,0.225229358,0.201852382
24.55,0.225229358,0.153036285
23.0875,0.211811927,0.139067681
24.4,0.223853211,0.141387419
26.075,0.239220183,0.14358572
22.2125,0.203784404,0.154335873
21.6875,0.19896789,0.150014452
23.175,0.212614679,0.155207624
21,0.19266055,0.120462361
23.1375,0.212270642,0.059795363
22.775,0.208944954,0.058863069
22.8,0.209174312,0.06782379
21.7875,0.199885321,0.109449875
22.2125,0.203784404,0.124847346
20.825,0.191055046,0.144955178
18.6375,0.170986239,0.190485325
21.925,0.201146789,0.144195104
21.7125,0.199197248,0.183616346
19.7625,0.181307339,0.110579577
19.5625,0.179472477,0.15461997
19.9375,0.182912844,0.173621601
20.7625,0.190481651,0.186052922
20.2375,0.185665138,0.145726339
19.7875,0.181536697,0.20238772
21.325,0.195642202,0.142804189
22.3125,0.204701835,0.155988858
21.9,0.200917431,0.113688248
25.2625,0.231766055,0.124266965
22.9375,0.21043578,0.133433283
24.725,0.226834862,0.087147635
24.1875,0.22190367,0.078135384
26.7625,0.245527523,0.085074487
25.8,0.236697248,0.115297664
24.3125,0.223050459,0.123548449
22.6625,0.207912844,0.100583365
22.9,0.210091743,0.103131446
23.05,0.21146789,0.137094499
23.8375,0.218692661,0.14304686
24.25,0.222477064,0.12010102
24.7875,0.227408257,0.131008042
23.3625,0.214334862,0.132384015
24.4125,0.22396789,0.105668429
24.525,0.225,0.104092693
25.2625,0.231766055,0.134442782
24.4,0.223853211,0.142883583
