MLD,pMLD,activity
4.161290323,0.088538092,0.539666498
5.419354839,0.115305422,0.387666264
4,0.085106383,0.591258933
2.774193548,0.059025395,0.630066323
3.580645161,0.07618394,0.468913271
4.806451613,0.102264928,0.513818084
6.935483871,0.147563487,0.323800291
6.177419355,0.131434454,0.402902375
5.983870968,0.127316404,0.45140665
4.483870968,0.09540151,0.396698349
5.532258065,0.117707618,0.362293872
4.5,0.095744681,0.301839881
6.161290323,0.131091283,0.334329846
5.983870968,0.127316404,0.28789777
6.032258065,0.128345916,0.323431498
6.096774194,0.1297186,0.396907216
6.709677419,0.142759094,0.341371158
7.225806452,0.153740563,0.384258128
6.709677419,0.142759094,0.327620467
8.403225806,0.178792038,0.284333168
8.85483871,0.188400824,0.349099099
7.016129032,0.149279341,0.357913669
7.967741935,0.169526424,0.372480717
8.322580645,0.177076184,0.304028436
8.741935484,0.185998627,0.192675159
8.35483871,0.177762526,0.261662325
8.580645161,0.182566918,0.243908209
8.903225806,0.189430336,0.307367433
9.483870968,0.201784489,0.155759749
9.387096774,0.199725463,0.202712521
9.435483871,0.200754976,0.221039903
9.274193548,0.197323267,0.22391979
9,0.191489362,0.323348883
9.306451613,0.198009609,0.175872093
9.403225806,0.200068634,0.18874502
9.725806452,0.206932052,0.230033477
9.225806452,0.196293754,0.121933268
9.161290323,0.194921071,0.170656371
9.241935484,0.196636925,0.142028986
9.225806452,0.196293754,0.100101626
9.258064516,0.196980096,0.192650635
9.564516129,0.203500343,0.17844523
9.629032258,0.204873027,0.160178853
9.580645161,0.203843514,0.138416578
10.16129032,0.216197666,0.147904034
9.096774194,0.193548387,0.248956159
8.838709677,0.188057653,0.213806328
7.435483871,0.158201784,0.174027844
6.612903226,0.140700069,0.215723419
7.064516129,0.150308854,0.211436477
7.274193548,0.154770075,0.182238443
8.338709677,0.177419355,0.167940755
8.177419355,0.173987646,0.185193835
8.774193548,0.186684969,0.104823748
11.27419355,0.239876458,0.135426889
11.98387097,0.254975978,0.127669561
10.12903226,0.215511325,0.146707288
11.08064516,0.235758408,0.059352093
10.33870968,0.219972546,0.111136999
9.870967742,0.21002059,0.095249077
10.12903226,0.215511325,0.130567994
10.09677419,0.214824983,0.074598678
10.22580645,0.21757035,0.071631879
10.80645161,0.229924502,0.086289549
11.16129032,0.237474262,0.068809524
11.38709677,0.242278655,0.077159037
9.758064516,0.207618394,0.025821596
12.38709677,0.263555251,0
12.5483871,0.26698696,0.012583096
12.59677419,0.268016472,0.028620352
12.40322581,0.263898421,0
13.35483871,0.284145504,0
12.58064516,0.267673301,0
12.30645161,0.261839396,0
12.29032258,0.261496225,0
12.75806452,0.271448181,0
12.64516129,0.269045985,0
12.58064516,0.267673301,0.012192148
12.61290323,0.268359643,0.012372635
12.64516129,0.269045985,0.016081148
12.67741935,0.269732327,0.029932652
12.64516129,0.269045985,0
11.70967742,0.249142073,0
11.67741935,0.248455731,0.013458608
12.51612903,0.266300618,0.07505071
11.62903226,0.247426218,0.030728285
11.69354839,0.248798902,0.075255102
11.69354839,0.248798902,0.098505268
11.61290323,0.247083047,0.051007713
11.66129032,0.24811256,0.092869395
11.70967742,0.249142073,0.156973879
11.69354839,0.248798902,0.197591546
11.56451613,0.246053535,0.226714801
11.51612903,0.245024022,0.215384615
8.64516129,0.183939602,0.263878131
7.483870968,0.159231297,0.232606983
6.225806452,0.132463967,0.262060302
5.419354839,0.115305422,0.267806995
7.225806452,0.153740563,0.317397733
7.467741935,0.158888126,0.216751147
8.935483871,0.190116678,0.188083817
11.51612903,0.245024022,0.226184412
13.85483871,0.294783802,0.201903292
14.22580645,0.302676733,0.255359566
12.43548387,0.264584763,0.139348501
14.32258065,0.304735758,0.13918807
12.74193548,0.27110501,0.10906298
14.27419355,0.303706246,0.06848249
12.53225806,0.266643789,0.100390117
10.66129032,0.226835964,0.162299669
12.43548387,0.264584763,0.101739971
14.64516129,0.311599176,0.097364568
14.85483871,0.316060398,0.077171216
14.41935484,0.306794784,0.080924855
14.16129032,0.301304049,0.094201064
14.0483871,0.298901853,0.070347958
14.80645161,0.315030885,0.074386503
14.85483871,0.316060398,0.037894201
14.5,0.308510638,0.05118411
14.46774194,0.307824296,0.075573897
14.24193548,0.303019904,0.084285352
15.11290323,0.321551132,0.108755993
15.20967742,0.323610158,0.051587302
15.19354839,0.323266987,0.057902584
15.22580645,0.323953329,0.043616761
14.22580645,0.302676733,0.099683159
13.30645161,0.283115992,0.101354872
13.30645161,0.283115992,0.050695825
14.30645161,0.304392588,0.02064971
14.30645161,0.304392588,0.070597166
14.01612903,0.298215511,0.067398119
14.01612903,0.298215511,0.079989907
14,0.29787234,0.103395844
14.08064516,0.299588195,0.148138769
12.37096774,0.26321208,0.277083333
12.61290323,0.268359643,0.176155718
12.11290323,0.257721345,0.24453587
11.46774194,0.243994509,0.231776181
8.129032258,0.172958133,0.296278159
7.258064516,0.154426905,0.273833168
6.274193548,0.13349348,0.249015748
7.709677419,0.16403569,0.31288501
8.983870968,0.191146191,0.292278921
10,0.212765957,0.175145533
11.56451613,0.246053535,0.142820447
9.161290323,0.194921071,0.170068027
8.661290323,0.184282773,0.193056286
12.25806452,0.260809883,0.100619195
11.59677419,0.246739876,0.066407263
11.53225806,0.245367193,0.044438531
11.51612903,0.245024022,0.036407122
11.88709677,0.252916953,0.018378378
11.5483871,0.245710364,0.039153439
11.56451613,0.246053535,0.09209454
11.5483871,0.245710364,0.131313131
11.66129032,0.24811256,0.184511435
12.85483871,0.273507207,0.089641913
12.75806452,0.271448181,0.070748963
