MLD,pMLD,activity
7.5,0.197368421,0.337524178
8.65,0.227631579,0.257874016
8,0.210526316,0.228113781
9.3,0.244736842,0.159060582
7.675,0.201973684,0.187961696
8.7375,0.229934211,0.15638412
8.075,0.2125,0.092108958
8.575,0.225657895,0.148137698
8.5125,0.224013158,0.267825575
9.3875,0.247039474,0.165311653
9.4125,0.247697368,0.169366297
8.9125,0.234539474,0.18358167
8.55,0.225,0.193181818
9.7,0.255263158,0.131874145
6.8625,0.180592105,0.116666667
6.225,0.163815789,0.235294118
7.7875,0.204934211,0.14137931
7.0875,0.186513158,0.223702093
8.425,0.221710526,0.238552235
7.7875,0.204934211,0.323089257
7.7,0.202631579,0.316274032
8.225,0.216447368,0.342849375
7.825,0.205921053,0.278484513
7.875,0.207236842,0.373527762
6.225,0.163815789,0.228510976
6.45,0.169736842,0.351794292
6.6375,0.174671053,0.364431487
6.9,0.181578947,0.347931873
7.1375,0.187828947,0.305237316
7.2,0.189473684,0.286217009
7.85,0.206578947,0.245016611
8.6875,0.228618421,0.206993796
9.3125,0.245065789,0.196684462
9.1625,0.241118421,0.152053274
8.1,0.213157895,0.218343031
8.15,0.214473684,0.264910249
8.8375,0.232565789,0.120021972
9.0125,0.237171053,0.14997202
9.3875,0.247039474,0.134375
7.5,0.197368421,0.166186636
6.6875,0.175986842,0.245405711
5.6125,0.147697368,0.250797333
7.425,0.195394737,0.20807969
7.45,0.196052632,0.108797654
6.95,0.182894737,0.112382629
7.9375,0.208881579,0.177700348
7.8,0.205263158,0.15367103
7.85,0.206578947,0.158212229
7.0875,0.186513158,0.194551458
6.9875,0.183881579,0.249656688
6.5875,0.173355263,0.227386585
6.65,0.175,0.307975113
7.3125,0.192434211,0.288558535
7.525,0.198026316,0.241877256
8.375,0.220394737,0.207763195
8.2125,0.216118421,0.232269003
8.1125,0.213486842,0.339994291
9.1875,0.241776316,0.21042524
9.1125,0.239802632,0.260304912
8.9625,0.235855263,0.24201167
8.15,0.214473684,0.253494108
8.3375,0.219407895,0.241301908
7.825,0.205921053,0.28280543
7.35,0.193421053,0.322258159
7.425,0.195394737,0.341381246
7.2375,0.190460526,0.310622318
6.9125,0.181907895,0.261120264
6.3125,0.166118421,0.251742627
6.05,0.159210526,0.276035834
6.8875,0.18125,0.33029872
7.1875,0.189144737,0.3189609
7.2,0.189473684,0.36963434
7.475,0.196710526,0.324651408
7.3125,0.192434211,0.267368421
7.35,0.193421053,0.347767976
6.625,0.174342105,0.272923992
6.775,0.178289474,0.500465116
5.3375,0.140460526,0.470991712
5.625,0.148026316,0.528206651
4.65,0.122368421,0.582895956
4.25,0.111842105,0.472949389
5.7125,0.150328947,0.359241706
4.5625,0.120065789,0.388008698
7.325,0.192763158,0.430409753
7.675,0.201973684,0.446153846
8.85,0.232894737,0.48967375
8.7375,0.229934211,0.406287425
8.175,0.215131579,0.338577912
8.55,0.225,0.247758518
8.325,0.219078947,0.211197512
8.2625,0.217434211,0.292166772
6.1375,0.161513158,0.367262285
6.4,0.168421053,0.33907551
6.8375,0.179934211,0.387183308
6.825,0.179605263,0.322115385
7.9875,0.210197368,0.275370121
7.4,0.194736842,0.331218974
6.6875,0.175986842,0.254128184
6.3375,0.166776316,0.268072289
5.5125,0.145065789,0.312081436
4.4625,0.117434211,0.249403025
4.5625,0.120065789,0.274104683
5.225,0.1375,0.340987371
7.025,0.184868421,0.298527808
8.075,0.2125,0.270597961
7.7125,0.202960526,0.305183946
9.05,0.238157895,0.195706028
8.5875,0.225986842,0.270822139
9.1,0.239473684,0.191484001
9.325,0.245394737,0.182541788
9.1,0.239473684,0.109581789
7.7375,0.203618421,0.171514819
8.7375,0.229934211,0.145379024
7.6125,0.200328947,0.248536456
7.675,0.201973684,0.15750332
7.875,0.207236842,0.237388724
7.8,0.205263158,0.214384509
8.325,0.219078947,0.298793284
8.2875,0.218092105,0.210031348
9.1875,0.241776316,0.209023706
9.425,0.248026316,0.182610926
9.7375,0.25625,0.151211802
8.6125,0.226644737,0.08678449
7.1625,0.188486842,0.247407834
6.35,0.167105263,0.17578125
7.375,0.194078947,0.209722222
7.65,0.201315789,0.192077515
6.375,0.167763158,0.223401433
6.3375,0.166776316,0.197127937
5.7875,0.152302632,0.206122988
6.9,0.181578947,0.210880689
7.9625,0.209539474,0.193166161
7.1,0.186842105,0.207006369
7.3125,0.192434211,0.292670019
6.8125,0.179276316,0.370887076
6.775,0.178289474,0.342318059
6.8,0.178947368,0.348134023
6.4375,0.169407895,0.361369063
8.2625,0.217434211,0.380646886
