MLD,pMLD,activity
6.05,0.09453125,0.419899367
5.5875,0.087304688,0.489100817
6.625,0.103515625,0.452115448
6.0375,0.094335938,0.393559928
5.15,0.08046875,0.338262477
4.175,0.065234375,0.378525933
6.4125,0.100195313,0.418733738
4.825,0.075390625,0.397150344
4.125,0.064453125,0.502150353
5.4,0.084375,0.530598291
5.1625,0.080664063,0.502910959
7.15,0.11171875,0.454497908
4.1,0.0640625,0.446372787
4.575,0.071484375,0.40742642
3.8875,0.060742188,0.426603964
5.8375,0.091210938,0.398441386
4.05,0.06328125,0.367637326
2.925,0.045703125,0.448017149
4.45,0.06953125,0.40097185
5.5125,0.086132813,0.349042465
5.8125,0.090820313,0.330663997
6.35,0.09921875,0.400345125
5.425,0.084765625,0.381256298
5.8,0.090625,0.350008121
8.575,0.133984375,0.268776732
4.925,0.076953125,0.393294881
7.4875,0.116992188,0.520547945
5.825,0.091015625,0.441085003
7.575,0.118359375,0.402864816
5.9875,0.093554688,0.415232578
4.6,0.071875,0.436675236
5.35,0.08359375,0.419144071
4.3125,0.067382813,0.408900786
3.8125,0.059570313,0.396269576
4.125,0.064453125,0.40351803
3.025,0.047265625,0.338933149
4.8875,0.076367188,0.36353298
4.6,0.071875,0.299178865
4.975,0.077734375,0.326650727
4.575,0.071484375,0.354951314
5.6625,0.088476563,0.336349122
6.9625,0.108789063,0.349406261
6.8,0.10625,0.298954943
5.3125,0.083007813,0.364951768
6.6625,0.104101563,0.370691148
6.3875,0.099804688,0.233770779
6.0125,0.093945313,0.317302477
6.0125,0.093945313,0.34692029
4.975,0.077734375,0.430990532
3.975,0.062109375,0.399092559
5.725,0.089453125,0.355457227
5.9875,0.093554688,0.409425626
6.325,0.098828125,0.369325375
4.5625,0.071289063,0.333639706
5.125,0.080078125,0.436333699
5.3375,0.083398438,0.376987839
4.9375,0.077148438,0.346481052
4.9875,0.077929688,0.307452204
6.625,0.103515625,0.320758444
7.725,0.120703125,0.265913371
7.2625,0.113476563,0.311405216
6.2625,0.097851563,0.318657127
6.7125,0.104882813,0.329907682
