MLD,pMLD,activity
2.575,0.091964286,0.387974471
3.05,0.108928571,0.200965087
3.15,0.1125,0.342008573
3.1875,0.113839286,0.316397229
2.8625,0.102232143,0.429869392
2.2875,0.081696429,0.43203372
2.7625,0.098660714,0.440534292
4.875,0.174107143,0.198115547
4.5375,0.162053571,0.21810804
4.6,0.164285714,0.308991684
4.65,0.166071429,0.320093458
3.8,0.135714286,0.406096616
3.1,0.110714286,0.297249558
3.675,0.13125,0.527161215
3.075,0.109821429,0.332819723
3.375,0.120535714,0.323306157
3.8625,0.137946429,0.099800399
3.55,0.126785714,0.226536227
3.55,0.126785714,0.163676511
3.8875,0.138839286,0.323682687
3.6125,0.129017857,0.312547529
3.45,0.123214286,0.459425718
3.7,0.132142857,0.332006556
4.4875,0.160267857,0.292300599
4.275,0.152678571,0.279206466
4.4,0.157142857,0.336410256
3.675,0.13125,0.365107459
4.025,0.14375,0.461087866
5.175,0.184821429,0.313270844
3.6,0.128571429,0.381147541
4.875,0.174107143,0.405337781
5.175,0.184821429,0.45170917
4.6875,0.167410714,0.370989855
3.6125,0.129017857,0.490992366
2.125,0.075892857,0.539893617
2.275,0.08125,0.470708846
1.95,0.069642857,0.502616089
2.975,0.10625,0.518347107
2.0875,0.074553571,0.556784901
2.175,0.077678571,0.4609375
3.275,0.116964286,0.442426444
3.3,0.117857143,0.430774503
3.45,0.123214286,0.395061728
3.1,0.110714286,0.436103991
3.175,0.113392857,0.519748985
4.0625,0.145089286,0.386809269
4.325,0.154464286,0.332223455
4.2625,0.152232143,0.427581175
3.4375,0.122767857,0.208135593
2.9125,0.104017857,0.326156018
2.575,0.091964286,0.37390696
3.1125,0.111160714,0.422883788
3.25,0.116071429,0.315991063
3.5375,0.126339286,0.370717634
3.6875,0.131696429,0.431236284
3.8375,0.137053571,0.345852384
4.5875,0.163839286,0.333002646
4.5625,0.162946429,0.341959335
4.5375,0.162053571,0.239595051
3.525,0.125892857,0.2654146
3.025,0.108035714,0.349559083
3.175,0.113392857,0.3148543
3.4625,0.123660714,0.517896275
3.3,0.117857143,0.354315986
2.9625,0.105803571,0.392870004
3.2625,0.116517857,0.412167027
3.175,0.113392857,0.468085106
3.3,0.117857143,0.458104647
3.275,0.116964286,0.435790151
4.025,0.14375,0.375
3.3625,0.120089286,0.426966292
3.275,0.116964286,0.2324897
3.2875,0.117410714,0.521198597
2.375,0.084821429,0.445451798
2.7625,0.098660714,0.418763591
3.325,0.11875,0.361055918
3.35,0.119642857,0.423551171
4.3625,0.155803571,0.353516241
2.8,0.1,0.398588524
3.05,0.108928571,0.413966656
4.975,0.177678571,0.325055715
4.275,0.152678571,0.397277228
5.2125,0.186160714,0.341253936
