Inactive_ants,Random_locations
81.63379,24.42337
84.68885,0
84.33176,254.22
80.47637,184.4482
79.15488,0
72.72748,595.8032
69.28741,0
66.23346,1.757169
65.9724,0
66.6992,0
69.4645,107.4182
77.15877,0
79.07545,436.2824
80.20317,0
83.85828,0
87.01645,281.4706
83.39072,0
79.01368,0
74.27835,537.3628
72.08254,124.7514
66.50834,279.3854
60.56114,0
56.2833,209.7484
52.35061,87.1699
51.35886,0
51.5315,4.291437
61.26913,265.8647
73.6409,0
95.80981,652.7275
114.0414,25.64218
122.7588,0
133.9411,417.7044
142.4572,0
144.5188,270.5512
144.4865,45.35302
146.6279,173.3009
131.9919,545.2405
126.1447,0
95.0658,29.48994
80.56229,0
58.03058,0
43.67625,17.65744
31.33728,366.8078
29.27876,47.94879
27.17042,37.98809
22.05342,0
14.43546,2.393581
6.473356,315.1937
5.006358,85.47344
0,0
0,39.03476
0,150.1784
1.533071,316.8993
1.612769,385.8511
1.587758,316.7612
0,122.7375
0,109.7542
0,6.755075
0,441.0311
0,0
0,0
0,65.18266
0,104.415
0,0
64.76027,60.77477
68.16335,240.5252
67.27812,3.683299
67.97462,595.8007
73.22712,582.7296
74.04781,0
79.47171,350.8584
81.98595,331.7014
82.75001,0
83.31284,18.36338
83.82285,0
81.42413,0
84.88021,388.8911
85.22268,0
84.84462,219.2064
82.56285,139.0978
81.35454,0
76.69537,0
75.10909,175.8002
72.61725,85.4743
69.71137,102.5507
70.46024,0
71.73085,0
77.72265,249.4335
80.82971,0
86.33654,176.3517
88.67452,304.1782
90.37321,391.4044
91.66177,434.3996
84.8291,23.60112
79.07283,339.7502
78.95972,351.4515
74.4688,46.11678
71.54941,0
69.99794,158.461
67.91864,438.409
67.10359,29.69435
68.72916,0
75.73935,0
89.34851,52.77478
109.0014,608.2832
122.5209,421.1275
131.9746,106.7684
141.9461,56.8594
149.8853,0
152.6912,0
155.8211,138.0035
158.7612,426.0021
146.1019,0
135.5514,715.2543
121.937,24.41422
96.9767,253.7645
72.79106,498.9742
58.69856,267.7689
43.42338,0
31.50083,153.4097
31.97145,178.0198
28.01486,0
20.79626,4.713037
12.80016,363.2513
8.219426,304.1577
4.971832,238.238
0,361.1485
1.534788,145.1601
1.592799,0
1.612105,610.1657
1.600434,0
1.540904,0
0,0
0,73.72077
0,185.0427
0,206.2738
0,144.7297
0,46.11942
1.581732,394.3555
1.58243,199.6008
1.542358,640.7397
0,339.2906
66.90921,0
67.33447,0
66.40388,0
67.02024,0
70.68777,408.3483
72.9302,145.1984
76.85628,0
82.34526,0
83.07954,0
83.55945,0
82.44429,159.8719
81.39473,46.5118
86.5425,203.7138
72.91023,285.8212
73.69762,125.4882
76.35669,56.15409
82.26324,0
83.64468,70.30782
85.86163,317.72
87.94474,4.489396
89.7502,0
92.97007,0
89.92218,103.411
84.90831,17.69759
84.12224,9.793492
83.51277,244.7188
84.96605,15.8602
84.60325,0
80.23483,261.1554
81.1115,379.4076
83.28278,0
91.84651,120.6057
101.4914,0
118.7992,0
129.4548,0
136.6535,183.3298
146.5842,125.3308
152.8019,1.989678
158.3118,250.0574
166.9234,241.8049
160.2341,697.5974
155.6276,276.1804
146.2599,75.19408
123.6034,4.439044
96.72067,0
76.62981,1.533194
60.43251,224.0339
47.08883,23.64931
42.13332,568.7647
38.0347,0
30.25625,35.31391
23.52201,425.7934
16.46833,292.0669
3.481352,64.63479
3.238496,146.1584
3.136178,120.5692
1.576151,0
1.512607,0
0,0
0,161.1382
0,0
0,73.87485
0,70.66553
1.601712,52.60056
1.825503,675.3499
1.882325,364.0061
1.860184,184.0978
1.808343,124.4533
1.748855,19.0373
67.72365,65.93134
71.01642,0
66.96143,31.98002
70.5239,0
71.14352,350.475
74.82346,243.0508
77.26013,0
81.15988,100.7834
81.7398,0
82.04921,84.06194
83.80505,520.312
82.62733,0
84.31898,197.3821
80.15723,46.76554
77.50171,325.5259
76.56921,378.8109
73.30692,236.4741
73.76519,26.94552
74.58634,197.9667
78.65719,0
82.73387,0
83.69291,203.0231
84.02936,38.21718
87.39254,244.9499
90.69693,610.1909
89.84527,0
89.00853,31.58372
86.32218,128.5549
87.8676,186.1596
89.56917,31.24538
91.58249,2.709891
91.68745,330.82
89.35235,148.2253
87.77716,0
93.54956,220.5124
102.1196,119.4208
111.3112,0
124.9241,342.3459
133.065,0
141.3899,242.3111
149.606,344.248
155.1723,220.1892
161.9733,20.65054
172.0002,130.9529
172.0142,241.8568
161.002,313.9529
145.4309,267.3355
124.4346,0
104.8993,0
80.78214,134.6797
59.19282,0
59.92668,0
55.75589,0
56.94033,229.5203
46.17992,201.1269
36.00138,169.3113
22.73265,158.952
6.140639,29.96013
3.760161,271.6214
3.350483,120.8353
0,580.9343
0,348.7782
0,0
0,0
0,13.33143
0,351.6089
0,0
1.764657,291.4956
1.979052,8.63238
2.055883,94.07003
2.058358,306.471
5.216886,0
5.765682,391.9314
7.715282,94.61831
0,645.4919
0,96.45718
0,117.0219
0,62.50971
0,0
0,233.4369
68.11858,77.04349
69.85329,423.0717
68.76618,0
69.29273,202.484
71.46472,327.8459
73.82298,0
79.29939,114.5018
83.14853,262.5541
83.47699,0
83.44569,144.7435
81.88224,0
81.44651,3.930074
75.66434,308.7544
73.06451,222.0844
73.72169,111.6551
74.58605,413.6928
78.47271,30.74593
82.2108,0
81.29817,0
81.29334,584.4708
84.20992,0
86.08679,0
85.2747,662.7191
87.64192,426.3171
89.81675,528.0082
88.89117,206.2706
91.15878,238.431
92.44588,0
92.73904,49.74617
92.53062,507.1881
102.7003,351.8047
113.3859,0
124.9515,170.9993
134.1573,286.7345
143.8141,68.90626
172.8913,0
172.7292,0
162.6327,291.2492
151.1833,123.6352
125.1369,119.4335
100.0664,612.2067
79.03171,49.51907
69.80862,1.741663
77.02798,267.8349
62.71643,4.561621
52.25953,0
9.225421,0
6.454772,0
2.244906,55.40643
1.607274,1.863601
0,0
0,69.34291
0,437.4988
0,146.6126
0,163.9227
1.518121,168.7803
1.7097,74.14061
1.894694,0
2.021171,125.4917
3.737042,434.0159
5.761415,334.0163
6.464979,0
8.647039,0
7.512104,0
0,194.5434
0,207.8975
0,612.6937
0,0
0,390.7386
0,382.4677
0,0
0,151.883
66.61729,34.36882
68.56499,341.9616
70.68107,303.7723
73.068,182.9729
75.82035,0
79.9773,0
82.28841,0
79.37574,79.53043
77.82536,3.774534
73.38582,0
71.03436,773.4006
74.18685,289.7619
71.69492,456.4616
72.3951,476.8129
81.12395,42.85949
88.0554,208.3503
93.4777,0
93.58112,31.11347
94.40334,7.453539
96.73755,387.7773
101.8351,19.20869
111.0319,0
120.7102,696.6678
179.5541,422.2044
173.2901,59.64005
165.8857,0
147.2175,231.5999
122.9646,1.738291
94.76861,0
82.59618,95.65543
78.16165,0
93.79462,1.530263
87.60429,0
68.21593,351.4407
20.97359,596.327
0,122.6058
1.511127,981.8147
1.563128,1.913745
1.571205,63.00028
3.034587,206.8139
1.627541,447.2517
1.726065,382.2861
1.83061,0
3.752,561.1582
5.867105,214.6263
6.694002,333.9329
8.819594,11.04566
9.302916,604.1999
7.293274,162.6679
6.443423,0
0,0
0,103.8388
0,2.715147
0,181.85
0,0
0,65.65775
0,0
0,648.8732
0,379.6852
0,384.8455
0,307.4112
0,91.86349
72.94875,0
77.03571,0
73.57816,0
70.65168,0
69.05612,27.00242
71.04129,623.7145
88.85108,174.5879
94.66296,241.8948
93.65355,0
100.6404,0
104.6557,196.7144
111.6519,0
179.4228,252.3137
172.8595,681.1748
160.2213,12.36242
144.0788,2.482316
129.828,275.5121
107.0143,301.994
96.80609,252.2367
93.94083,488.1916
98.4514,0
84.93615,19.36312
61.21556,15.15494
1.582024,360.8141
1.580422,0
1.554635,685.5446
1.514191,433.7753
1.554845,208.812
1.581379,0
1.621632,0
3.352139,277.0304
4.213093,0
6.580976,0
8.607029,459.6182
8.119968,2.912351
6.001237,604.02
0,198.0385
0,0
0,127.3648
0,0
0,53.34244
0,126.9897
0,0
0,0
0,442.3586
0,89.91709
0,469.7834
0,4.015792
0,442.5272
0,1.694496
66.57616,0
65.87457,234.6743
90.16399,0
91.55297,170.5897
96.35651,325.5694
183.1772,0
175.6584,51.91778
170.1549,338.9034
158.4778,3.775578
146.9738,0
110.3246,0
116.4329,2.184479
110.001,308.758
99.08966,0
79.39275,556.9038
0,192.649
0,136.822
0,192.2678
0,266.5071
0,577.2665
0,0
0,0
0,180.2711
2.3376,0
3.348597,148.7003
6.59754,567.6785
5.102214,0
1.969944,803.0546
0,705.51
0,0
0,6.340444
0,2.845119
0,628.6151
0,396.3517
0,143.0918
0,101.4999
0,338.9949
0,195.5533
0,464.6306
0,0
0,401.2711
0,511.1455
0,111.8011
0,375.5792
189.0443,14.37777
176.5693,22.97463
119.0758,388.1236
117.4927,611.0488
108.4602,313.9016
8.009789,0
6.140738,80.35917
0,0
0,203.3699
0,255.9905
0,331.8528
0,361.6945
0,252.9939
0,146.0413
0,167.7665
2.028692,349.2097
3.159589,0
3.455698,280.7567
1.769483,0
0,41.99449
0,0
0,0
0,11.08295
0,503.3808
0,0
0,250.0534
0,153.469
0,0
0,0
0,358.6921
0,44.52267
0,0
0,345.679
0,313.3102
0,0
0,0
188.4842,128.1308
178.4876,0
124.572,0
8.36354,0
6.537628,83.63702
2.368429,613.0209
1.595539,0
0,219.1195
0,59.55314
0,96.88297
0,125.1518
0,0
0,61.66235
0,54.27834
0,183.796
1.660519,596.2739
4.31704,187.7623
4.774928,567.1169
2.68244,477.3067
1.965899,0
0,0
0,87.33871
0,431.2622
0,248.0735
0,0
0,184.3063
0,0
0,30.96192
0,0
0,208.43
0,1.783015
0,70.29147
0,0
0,414.3159
0,193.9967
0,0
0,161.3445
0,505.3167
0,0
190.094,0
179.7037,502.6461
135.9299,242.2435
124.0679,0
1.839033,0
0,0
0,0
0,0
0,256.9517
0,539.6865
0,525.8569
0,31.6805
0,269.1607
0,164.1952
3.610458,60.76154
4.25406,241.6237
3.863019,146.6187
1.682368,0
0,340.7703
0,513.6958
0,0
0,0
0,191.4333
0,382.0396
0,94.05557
0,1.640405
0,0
0,0
0,379.2382
0,267.6246
0,313.33
0,15.13642
0,690.2496
0,190.0679
0,69.51744
0,106.7526
0,171.3239
0,34.47233
134.5274,324.3734
0,389.0222
0,0
0,0
0,0
0,136.0909
0,210.2309
0,212.2975
0,135.0569
0,40.59516
0,424.3367
3.275728,207.2522
3.049972,415.8076
0,0
0,0
0,4.105998
0,0
0,78.89209
0,206.2951
0,0
0,427.1229
0,0
0,73.46085
0,70.36895
0,321.0059
0,0
0,0
0,0
0,388.9327
0,142.8755
0,116.9271
0,0
0,147.8744
0,745.9635
0,445.4096
0,153.9581
0,72.30976
0,102.2969
0,99.32764
0,319.5596
0,429.5436
0,579.313
0,183.5935
0,151.648
0,200.0763
0,394.0998
0,722.8508
0,45.9359
0,21.35214
0,3.172931
0,16.6884
0,42.09963
0,406.5218
0,99.40587
0,0
0,0
0,231.5109
0,0
0,0
0,131.578
0,315.009
0,0
0,503.5551
0,88.08418
0,582.2842
0,63.67271
0,0
0,0
0,33.22515
1.54819,271.2686
0,0
0,235.5176
0,114.1874
0,0
0,223.0723
0,0
0,0
0,284.6587
0,0
0,184.8099
0,0
0,210.5878
0,232.1193
0,531.3174
0,136.643
0,0
0,298.3786
0,274.4504
0,0
0,0
0,5.73975
0,385.5396
0,180.4583
0,116.1913
0,291.8335
0,0
0,102.551
0,142.1126
0,0
0,28.59586
0,358.5914
0,0
0,614.4232
0,823.0001
0,15.40345
0,32.73902
0,0
0,146.5676
0,363.6454
0,254.9455
0,0
0,398.788
0,246.6955
0,674.0984
0,0
0,109.3812
0,23.20793
0,0
0,0
0,0
0,0
0,170.0211
0,28.142
0,555.809
0,190.1493
0,173.0312
0,552.4764
0,0
0,142.4355
0,0
0,390.1242
0,302.2603
0,0
0,131.7876
0,2.882771
0,0
0,562.8599
0,0
0,306.3938
0,17.18831
0,426.0974
0,43.88791
0,0
0,132.2756
0,424.6699
0,3.460725
0,69.745
0,14.4873
0,0
0,0
0,132.0177
0,0
0,447.5357
0,0
0,1.60998
0,44.82945
0,153.368
0,270.9642
0,166.0422
0,0
0,0
0,334.3314
1.750639,5.262152
1.543062,114.3976
0,202.3256
0,0
0,89.37211
0,150.6215
0,0
0,61.86543
0,187.5812
0,0
0,434.6911
0,156.9822
0,21.0488
0,0
0,0
0,58.00484
0,267.5564
0,0
0,164.1944
0,3.414585
0,297.5772
0,0
0,0
0,0
0,553.3339
0,0
0,113.5324
0,0
5.139677,28.0775
1.927247,718.438
1.86085,0
0,0
0,159.2799
0,325.4597
0,77.85351
0,0
0,155.1217
0,64.52151
0,0
0,462.0509
0,376.168
0,14.59811
0,201.5141
0,80.44933
0,256.0553
0,483.192
0,438.9363
0,517.959
0,589.9518
0,321.193
0,319.334
0,0
0,0
0,0
0,610.7546
0,176.0963
0,254.6446
0,1.958229
0,122.2413
0,122.4686
0,277.8375
0,284.1006
0,0
0,0
0,17.6298
3.956905,526.1563
5.432847,489.3212
3.655083,2.635093
0,278.2648
0,0
0,420.0373
0,5.030048
0,448.4523
0,441.3752
0,16.01933
0,543.1388
0,127.5686
0,164.0792
0,0
0,301.5282
0,333.1628
0,804.2292
0,276.8498
0,319.6116
0,0
0,605.4164
0,290.8806
0,0
0,0
0,0
0,451.1593
0,79.53007
0,10.40192
0,189.8697
0,0
0,403.3239
0,103.1466
0,271.0399
0,675.6429
0,0
0,696.9741
0,276.0282
0,200.2748
0,85.62885
0,0
0,316.4855
0,177.9153
3.758195,0
3.840269,0
5.287875,355.8679
0,0
0,0
0,0
0,8.64284
0,654.3641
0,0
0,125.0519
0,57.86092
0,0
0,0
0,183.534
0,0
0,0
0,0
0,334.1556
0,461.2232
0,0
0,292.5539
0,516.0555
0,1.656696
0,51.41784
0,355.2553
0,0
0,0
0,0
0,149.5532
0,189.5576
0,215.5668
0,593.5756
0,192.4664
0,373.4711
0,0
0,301.0799
0,419.7362
0,67.79334
0,0
0,184.9457
0,86.10647
0,589.0621
0,182.8652
1.784629,366.5073
1.959859,0
0,157.6503
0,167.7986
0,402.6153
0,484.7199
0,739.2032
0,327.0768
0,25.6183
0,235.2852
0,0
0,17.9397
0,132.2567
0,157.0268
0,0
0,0
0,0
0,365.7852
0,1.666463
0,526.3874
0,0
0,0
0,45.12859
0,268.3774
0,0
0,395.9364
0,569.4612
0,390.9479
0,477.2592
0,47.37206
0,399.6285
0,371.6605
0,287.2316
0,144.9682
0,180.1088
0,281.105
0,416.1229
0,9.366222
0,106.4427
0,0
0,216.0442
1.51226,451.3336
1.693481,11.7733
1.88875,0
2.059302,0
0,57.175
0,19.70399
0,190.569
0,318.8669
0,139.5677
0,304.4832
0,355.2056
0,631.2189
0,0
0,10.5997
0,169.5179
0,1.531304
0,397.0426
0,581.1023
0,139.3384
0,0
0,54.58096
0,332.3775
0,34.83493
0,59.91033
0,17.29425
0,439.5098
0,0
0,3.890974
0,0
0,444.6633
0,538.4229
0,0
0,0
0,119.1943
0,54.00547
0,422.8342
0,228.5313
0,62.71857
0,306.4518
0,0
0,0
0,0
0,0
0,346.7191
0,0
1.569261,165.9998
1.787774,157.5602
1.967223,109.3924
2.048858,81.88873
1.999885,0
1.849665,7.963029
0,132.7765
0,0
0,30.08751
0,145.9382
0,0
0,0
0,66.394
0,446.2002
0,31.21773
0,432.8667
0,363.016
0,0
0,278.3587
0,426.428
0,190.9815
0,0
0,362.037
0,43.45311
0,9.131741
0,4.857887
0,366.2243
0,377.0653
0,252.0727
0,376.9817
0,304.6446
0,82.67522
0,29.89288
0,275.212
0,112.1864
0,320.4021
0,227.116
0,35.35311
0,152.099
0,366.4698
0,0
0,0
0,239.9916
0,255.592
0,0
0,66.27432
0,254.1189
1.652243,50.14027
1.838635,271.4512
1.892052,8.765861
1.794186,44.2091
1.602293,733.5334
0,41.05803
0,140.2148
0,183.9153
0,69.39706
0,2.93438
0,163.5107
0,714.9797
0,102.2967
0,68.49814
0,0
0,33.17815
0,55.04586
0,40.38554
0,0
0,485.6481
0,711.6116
0,187.5631
0,0
0,236.7707
0,123.2029
0,0
0,0
0,475.81
0,243.4992
0,0
0,53.2188
0,0
0,277.5401
0,244.2045
0,441.9193
0,113.7894
0,56.42822
0,0
0,525.4218
0,45.22332
0,6.939205
0,269.1331
0,125.31
0,459.5946
0,0
0,314.6491
0,80.93192
0,329.8257
0,0
0,396.4233
0,188.4548
1.66636,150.8442
1.678615,7.177959
1.516825,206.4027
0,131.8942
0,0
0,307.8717
0,62.58017
0,0
0,147.6325
0,328.5428
0,178.1025
0,375.3545
0,521.7294
0,331.4351
0,5.030576
0,113.4685
0,0
0,4.041939
0,0
0,314.5534
0,341.6525
0,52.29133
0,397.1756
0,157.5723
0,176.767
0,416.8361
0,186.3086
0,397.5489
0,24.79709
0,0
0,465.6906
0,20.33456
0,287.6396
0,122.5609
0,21.07454
0,0
0,33.31577
0,269.9573
0,58.14012
0,0
0,35.36188
0,0
0,0
0,253.5008
0,0
0,133.6754
0,427.7848
0,425.0529
0,105.451
0,12.50096
0,28.67412
0,164.4239
0,169.477
0,0
0,16.25846
0,0
0,0
0,385.2695
0,83.24402
0,0
0,396.055
0,326.6419
0,424.2448
0,0
0,46.68565
0,0
0,240.2178
0,523.5604
0,0
0,231.8088
0,551.196
0,126.5677
0,266.8918
0,143.353
0,77.39238
1.806026,0
1.763006,55.07717
1.756561,0
1.787002,135.515
1.84202,85.49445
1.910565,239.817
0,166.0017
0,50.10448
0,425.2127
0,0
0,538.0972
0,14.13217
0,0
0,95.4237
0,85.54875
0,301.3217
0,0
0,217.2723
0,306.3479
0,245.8809
0,0
0,197.2132
0,35.99806
0,196.3809
0,0
0,0
0,694.3304
0,0
0,209.5502
0,31.20028
0,0
0,103.0129
0,431.7939
0,0
0,0
0,426.0497
0,23.23475
0,278.0727
0,0
0,212.4126
0,0
0,20.48824
0,0
0,166.3979
0,0
0,3.229777
0,0
0,0
0,28.85566
0,15.95948
0,163.0874
0,123.7642
0,250.4648
0,0
0,21.04817
1.974423,492.2468
1.914524,347.9071
1.839932,113.3413
1.766659,0
1.723576,99.27052
1.729164,0
1.775421,282.8229
1.8456,437.8115
1.919911,0
0,183.5575
0,49.48402
0,354.5323
0,0
0,130.452
0,346.3396
0,523.6138
0,178.4238
0,16.88924
0,0
0,0
0,29.84217
0,67.622
0,0
0,18.95221
0,341.9054
0,438.2966
0,0
0,69.2856
0,209.985
0,344.1046
0,0
0,460.5856
0,195.7491
0,0
0,164.5795
0,708.0507
0,0
0,0
0,70.8384
0,0
0,347.7167
0,0
0,126.3078
0,194.4263
0,253.6894
0,167.4562
0,120.3828
0,6.167911
0,71.6145
0,1.527676
0,929.9899
0,0
0,0
0,0
0,347.5884
0,81.4675
2.067719,20.08993
2.035724,0
1.971401,0
1.878997,91.90005
1.771006,425.5224
1.678433,427.1879
1.639851,412.8317
1.663332,0
1.728632,99.88376
1.807446,295.8039
1.875328,101.2896
0,45.29366
0,281.5801
0,84.31898
0,319.5408
0,0
0,144.4883
0,0
0,102.9655
0,0
0,2.246964
0,0
0,330.1454
0,24.43685
0,495.3196
0,234.9755
0,18.98765
0,202.001
0,183.719
0,392.8992
0,0
0,638.7532
0,358.3569
0,42.39471
0,530.4939
0,0
0,196.2113
0,133.8491
0,246.4496
0,190.3085
0,156.085
0,262.3
0,3.387945
0,432.5266
0,0
0,336.8799
0,0
0,216.7633
0,0
0,110.7357
0,169.7564
0,61.1913
0,60.3304
0,0
0,0
0,273.4706
2.114938,81.70134
2.122599,425.4532
2.094551,149.0184
2.020373,24.66093
1.900056,0
1.751106,641.0985
1.611946,332.6343
1.532708,269.0915
1.534323,0
1.59357,397.9064
1.675853,293.3889
1.755359,480.3251
1.818278,217.6924
0,704.352
0,0
0,11.71546
0,183.1213
0,0
0,0
0,264.1938
0,188.631
0,3.335145
0,14.19542
0,0
0,22.55
0,426.7701
0,320.3259
