MLD,pMLD,activity
3.3625,0.258653846,0.208525346
1.7625,0.135576923,0.173859433
1.0375,0.079807692,0.5173454
1.275,0.098076923,0.597037037
3.0375,0.233653846,0.4718398
3.175,0.244230769,0.403614458
1.2125,0.093269231,0.527704485
1.4125,0.108653846,0.764705882
1.4375,0.110576923,0.71927555
1.375,0.105769231,0.426028921
1.425,0.109615385,0.458005249
1.4375,0.110576923,0.220500596
1.825,0.140384615,0.603864734
1.6875,0.129807692,0.630404463
1.5625,0.120192308,0.35666218
2.4,0.184615385,0.167115903
2.6875,0.206730769,0
3.3375,0.256730769,0.302710843
3.1875,0.245192308,0.088353414
3.3,0.253846154,0.103988604
4.2,0.323076923,0
3.575,0.275,0.157622739
3.575,0.275,0.067885117
3.1375,0.241346154,0.166431594
2.1625,0.166346154,0.26171875
2.4375,0.1875,0.424068768
2.2125,0.170192308,0.318396226
2.65,0.203846154,0.267777778
2.9625,0.227884615,0.307787392
2.0875,0.160576923,0.223255814
2.975,0.228846154,0
2.2,0.169230769,0.136604775
1.875,0.144230769,0.578461538
2.0375,0.156730769,0.245024876
1.8375,0.141346154,0.31763285
1.85,0.142307692,0.411078717
2.95,0.226923077,0.232323232
2.925,0.225,0.110285006
2.925,0.225,0.368073879
2.65,0.203846154,0.262916188
2.9875,0.229807692,0.259428571
2.7125,0.208653846,0.084893883
3.725,0.286538462,0.211886305
3.925,0.301923077,0.070828331
3.7625,0.289423077,0.154482759
3.0375,0.233653846,0
3.275,0.251923077,0.130876747
3.8875,0.299038462,0
3.775,0.290384615,0.158753709
3.9375,0.302884615,0
3.975,0.305769231,0
4.325,0.332692308,0.094827586
3.5,0.269230769,0.114624506
3.6125,0.277884615,0.272727273
3.6625,0.281730769,0
2.4125,0.185576923,0.49537037
2.375,0.182692308,0.171896317
1.9625,0.150961538,0.356005789
2.525,0.194230769,0.424694708
2.1625,0.166346154,0.273991655
2.225,0.171153846,0.517191977
1.6375,0.125961538,0.352317881
0.975,0.075,0.499241275
2.3125,0.177884615,0.244897959
2.0875,0.160576923,0.483552632
3.2125,0.247115385,0.245810056
4.6875,0.360576923,0.239942529
4.5125,0.347115385,0.105769231
4.225,0.325,0
4.9,0.376923077,0.13556338
4.8625,0.374038462,0.129464286
5.2375,0.402884615,0.073593074
5.2375,0.402884615,0
5.125,0.394230769,0
4.8125,0.370192308,0
3.925,0.301923077,0.092209857
4.125,0.317307692,0.232142857
3.8625,0.297115385,0.085190039
4.475,0.344230769,0.090497738
4.4625,0.343269231,0.221212121
4.5625,0.350961538,0.245945946
3.775,0.290384615,0.201212121
2.9125,0.224038462,0.315638451
3.3625,0.258653846,0.122222222
3.9625,0.304807692,0.084450402
