MLD,pMLD,activity
14.0875,0.129243119,0.187294427
13.375,0.122706422,0.169734904
14.6,0.133944954,0.129820649
15.5125,0.142316514,0.095764273
16,0.146788991,0.109099663
13.25,0.121559633,0.143759571
13.5625,0.124426606,0.166762673
13.2625,0.121674312,0.131280077
12.95,0.118807339,0.132001529
12.925,0.118577982,0.224020688
8.05,0.073853211,0.288730412
8.9,0.081651376,0.254278274
9.0375,0.082912844,0.214474429
11.1625,0.102408257,0.227190562
12.4125,0.113876147,0.187983399
11.4875,0.105389908,0.159402477
11.3,0.103669725,0.146828844
12.1625,0.111582569,0.19722488
12.7125,0.11662844,0.132584056
12.2,0.111926606,0.185321649
12.0875,0.110894495,0.172917869
12.0375,0.11043578,0.125755287
12.8375,0.117775229,0.156829361
13.6625,0.125344037,0.144369219
12.5625,0.115252294,0.168782458
12.1375,0.111353211,0.142954127
12.475,0.114449541,0.139104874
12.925,0.118577982,0.144027434
11.5875,0.106307339,0.153316351
13.3875,0.122821101,0.201852382
12.4,0.113761468,0.153036285
12.075,0.110779817,0.139067681
14.075,0.12912844,0.141387419
15.0625,0.138188073,0.14358572
11.5125,0.105619266,0.154335873
12.675,0.116284404,0.150014452
11.6125,0.106536697,0.155207624
11.05,0.101376147,0.120462361
11.875,0.108944954,0.059795363
12.1125,0.111123853,0.058863069
12.4875,0.11456422,0.06782379
12.3625,0.113417431,0.109449875
12.1125,0.111123853,0.124847346
12.025,0.110321101,0.144955178
10.25,0.094036697,0.190485325
11.5375,0.105848624,0.144195104
11.6125,0.106536697,0.183616346
10.9875,0.100802752,0.110579577
10.75,0.098623853,0.15461997
11.2875,0.103555046,0.173621601
11.3625,0.104243119,0.186052922
11.025,0.101146789,0.145726339
10.85,0.099541284,0.20238772
12.525,0.114908257,0.142804189
13.025,0.119495413,0.155988858
11.6,0.106422018,0.113688248
12.7,0.116513761,0.124266965
11.85,0.108715596,0.133433283
13.1,0.120183486,0.087147635
13.6875,0.125573394,0.078135384
14.375,0.131880734,0.085074487
13.25,0.121559633,0.115297664
12.65,0.116055046,0.123548449
12.4625,0.114334862,0.100583365
12.825,0.11766055,0.103131446
13.8375,0.126949541,0.137094499
13.7125,0.125802752,0.14304686
13.5125,0.12396789,0.12010102
13.0375,0.119610092,0.131008042
13.2,0.121100917,0.132384015
13.475,0.123623853,0.105668429
13.575,0.124541284,0.104092693
13.6375,0.125114679,0.134442782
12.8,0.117431193,0.142883583
12.7,0.116513761,0.140286414
11.6625,0.106995413,0.129613896
11.45,0.105045872,0.127663569
12.05,0.110550459,0.156825697
12.825,0.11766055,0.106514995
12.8875,0.118233945,0.177669265
11.4375,0.104931193,0.200056888
11.4,0.104587156,0.244344316
10.7875,0.09896789,0.259118541
12.0625,0.110665138,0.245155693
11.4875,0.105389908,0.235450489
10.85,0.099541284,0.175496069
12.0875,0.110894495,0.14015748
12.675,0.116284404,0.127892927
11.6375,0.106766055,0.126728547
11.5125,0.105619266,0.179803885
12.1875,0.111811927,0.135707591
12.1875,0.111811927,0.087857008
11.7375,0.107683486,0.121930407
13.1875,0.120986239,0.106287003
14.3625,0.131766055,0.061216766
14.5,0.133027523,0.016472139
14.6875,0.134747706,0.051751818
15.275,0.140137615,0.034871501
15.25,0.139908257,0.049961934
15.2,0.139449541,0.095643939
15.2375,0.139793578,0.067752443
15.35,0.140825688,0.041868255
14.4,0.132110092,0.04649197
14.3625,0.131766055,0.030308807
14.5,0.133027523,0.020579628
15,0.137614679,0.049308365
14.975,0.137385321,0.027824463
14.5625,0.133600917,0.077174624
14.5375,0.13337156,0.074171193
14.1625,0.129931193,0.043644147
13.575,0.124541284,0.097795096
14.0625,0.129013761,0.107612038
13.975,0.128211009,0.165560438
13.1125,0.120298165,0.191848078
12.6125,0.115711009,0.260986965
13.1125,0.120298165,0.294679031
10.975,0.100688073,0.380420976
8.025,0.073623853,0.407607205
8.175,0.075,0.430534351
6.425,0.058944954,0.413194444
7.4125,0.068004587,0.417006677
7.675,0.070412844,0.424630816
8.95,0.082110092,0.374571402
9.05,0.083027523,0.253413841
9.6,0.088073394,0.245046729
9.5625,0.087729358,0.233828006
9.5625,0.087729358,0.155799138
8.7375,0.08016055,0.228080396
9.8,0.089908257,0.166666667
10.5625,0.09690367,0.118668184
9.8125,0.090022936,0.137146136
11.375,0.104357798,0.075999613
10.95,0.100458716,0.067098742
13.3375,0.122362385,0.066785983
12.775,0.117201835,0.078482914
13.4625,0.123509174,0.064764914
14.1,0.129357798,0.077764163
14.1375,0.129701835,0.038227872
14.05,0.128899083,0.026010744
13.7,0.125688073,0.020803648
14.1375,0.129701835,0.032460137
14.475,0.132798165,0.034724858
14.5125,0.133142202,0.016458196
14.4625,0.132683486,0.029257314
14.3125,0.131307339,0.051219512
14.0375,0.128784404,0.04319214
13.6375,0.125114679,0.03538834
13.375,0.122706422,0.027583601
12.7375,0.116857798,0.044446515
12.725,0.116743119,0.056040892
13.05,0.119724771,0.102839891
10.9625,0.100573394,0.107012793
10.9125,0.100114679,0.10208275
11.35,0.10412844,0.174068835
10.775,0.098853211,0.215334572
9.45,0.086697248,0.220139016
9.0125,0.082683486,0.295799408
6.7875,0.062270642,0.439318408
5.7625,0.052866972,0.464113964
4.8,0.044036697,0.478786176
4.2875,0.039334862,0.524925317
3.9875,0.036582569,0.415460232
7.25,0.066513761,0.401326235
6.975,0.063990826,0.306610279
8.7625,0.080389908,0.336188235
8.4125,0.077178899,0.300757303
9.1875,0.084288991,0.214783566
8.7125,0.079931193,0.202026837
9.5875,0.087958716,0.202800445
12.025,0.110321101,0.175796058
10.4,0.095412844,0.185085268
9.7875,0.089793578,0.191284227
10.5125,0.096444954,0.127772512
11.7875,0.108142202,0.158655236
12.925,0.118577982,0.098947172
13.175,0.12087156,0.167680534
13.2125,0.121215596,0.091063067
13.1,0.120183486,0.085238048
12.0875,0.110894495,0.082717283
10.95,0.100458716,0.058327615
