MLD,activity
292,0.53966649823143
337,0.387666263603386
251,0.591258933479934
229,0.630066322770818
298,0.468913270637409
385,0.513818084250067
430,0.323800290838585
416,0.402902374670185
392,0.451406649616368
294,0.396698349174587
354,0.362293871523505
346,0.30183988065639
383,0.334329845540608
382,0.287897769982461
412,0.323431498079385
402,0.396907216494845
435,0.341371158392435
457,0.384258127597164
443,0.327620466964729
523,0.284333168071393
549,0.349099099099099
452,0.357913669064748
510,0.372480716596168
590,0.304028436018957
585,0.192675159235669
555,0.261662325361118
560,0.243908209131772
644,0.307367433129986
644,0.155759748991484
613,0.202712521191572
631,0.221039903264813
615,0.223919789925997
558,0.323348882887307
588,0.175872093023256
670,0.188745019920319
664,0.230033476805356
623,0.121933267909715
575,0.170656370656371
575,0.142028985507246
593,0.10010162601626
624,0.192650634963523
593,0.178445229681979
597,0.160178853235139
643,0.138416578108395
690,0.147904033746375
638,0.248956158663883
548,0.213806327900288
488,0.174027844455113
428,0.215723419370116
438,0.2114364768273
516,0.182238442822384
522,0.167940754897277
544,0.185193834656702
599,0.104823747680891
706,0.135426889106968
743,0.127669561135884
638,0.146707288493086
702,0.0593520926933081
662,0.111136999068034
627,0.0952490774907749
673,0.130567994343625
656,0.0745986779981114
648,0.0716318785578748
705,0.0862895493767977
735,0.0688095238095238
721,0.0771590372817367
711,0.0258215962441315
768,0
778,0.0125830959164292
831,0.0286203522504892
818,0
828,0
780,0
763,0
762,0
791,0
784,0
781,0.0121921482565228
783,0.012372634643377
784,0.0160811479465611
786,0.0299326515340484
791,0
756,0
753,0.0134586084306755
776,0.0750507099391481
721,0.0307282845390757
725,0.0752551020408163
771,0.0985052683165891
720,0.0510077133615327
723,0.0928693947561872
726,0.156973878758009
725,0.197591545834357
717,0.226714801444043
716,0.215384615384615
595,0.263878130648076
498,0.232606983460226
457,0.262060301507538
390,0.267806995149349
527,0.317397732873337
592,0.216751146512189
636,0.188083817217874
823,0.226184411614875
886,0.20190329218107
900,0.255359565807327
814,0.139348500517063
888,0.139188069594035
884,0.109062980030722
905,0.0684824902723735
800,0.100390117035111
720,0.162299669295345
881,0.101739971000483
908,0.0973645680819912
921,0.0771712158808933
937,0.0809248554913295
920,0.094201063560395
913,0.0703479576399395
918,0.0743865030674847
921,0.0378942014242116
899,0.0511841100076394
897,0.0755738973433067
883,0.0842853516120843
937,0.108755992934645
943,0.0515873015873016
942,0.0579025844930417
944,0.0436167605978927
882,0.0996831586643919
825,0.101354872329338
844,0.0506958250497018
919,0.0206497104004029
887,0.0705971659919028
886,0.0673981191222571
887,0.0799899066363866
886,0.103395843892549
873,0.148138769308686
845,0.277083333333333
833,0.176155717761557
790,0.244535870403703
771,0.231776180698152
561,0.296278158667973
535,0.273833167825223
466,0.249015748031496
518,0.31288501026694
572,0.292278920651883
695,0.175145532776512
752,0.142820446956075
609,0.170068027210884
567,0.193056286165176
760,0.10061919504644
723,0.0664072632944228
741,0.0444385311335817
725,0.0364071219771459
739,0.0183783783783784
733,0.0391534391534392
747,0.0920945395273024
747,0.131313131313131
761,0.184511434511435
797,0.0896419130016823
793,0.0707489631617468
795,0.0791084986529513
795,0.0615234375
779,0.0995830267353446
779,0.0705824284304047
805,0.0586966938188788
810,0.0332185039370079
787,0.0302508607968519
779,0.0433398628795299
739,0.0156632403328439
810,0.0405174517939956
818,0.0448233861144945
846,0.0265442818159266
797,0.061761811023622
799,0.0792698174543636
879,0.0148404650012367
869,0.0498404124723791
858,0.152301042461226
827,0.175652598194682
777,0.192543536914398
769,0.230692076228686
606,0.265012406947891
570,0.180725787070416
585,0.189641844885339
422,0.293085655314757
488,0.226693835965359
466,0.316846229187072
572,0.164927462458641
626,0.116956202593589
665,0.146366692526506
709,0.200773195876289
674,0.142300194931774
665,0.125929725570659
681,0.175
745,0.178053830227743
802,0.0787025396027156
738,0.201520912547529
716,0.140157093765341
803,0.0967083439652973
820,0.102842377260982
854,0.0969493278179938
786,0.184409687184662
755,0.186316586720525
786,0.140350877192982
743,0.118613138686131
747,0.167731629392971
781,0.1433465085639
747,0.101094983447925
788,0.175710594315245
757,0.170022941626306
752,0.147790756729304
767,0.11527224435591
770,0.170992774953171
777,0.231895633652822
772,0.116087993639014
779,0.130388504523683
726,0.104461942257218
768,0.0522088353413655
765,0.121561435682473
754,0.10959595959596
712,0.127025614218505
718,0.101819100555836
548,0.114939505523409
633,0.154060913705584
554,0.151551891367604
532,0.253690267700776
515,0.224554039874082
621,0.207293666026871
554,0.235626007522837
586,0.238392614716264
470,0.231720430107527
455,0.19439201941224
507,0.161428955143701
477,0.166197903349527
580,0.132632632632633
544,0.164101290963257
512,0.226399560922064
593,0.104690334283493
633,0.106732776617954
635,0.0759625390218522
586,0.122022233986236
639,0.0818113585188892
710,0.0975414216996259
713,0.0531363400725765
716,0.0927258193445244
719,0.0815767862031207
641,0.0796988577362409
650,0.0484122852680895
672,0.0468130124305739
678,0.0838658146964856
637,0.143478260869565
706,0.13223371540397
688,0.12156862745098
640,0.0847084708470847
666,0.101359003397508
673,0.095654550423613
644,0.0587121212121212
700,0.081943645773433
693,0.0466173962478681
684,0.0658198614318707
713,0.013869625520111
710,0.0295580918934738
741,0.0327186198691255
740,0.0342249065286166
740,0.0142857142857143
747,0.0331568682084146
750,0
739,0.0287148034569278
728,0.0438448566610455
752,0
794,0
785,0.0136948781155848
756,0
766,0.016698603887216
716,0.0508429221300508
704,0.0456169277273976
721,0.0380584666298952
678,0.0698608137044968
673,0.239118303571429
