Inactive_ants,Random_locations
117.3251,99.539
103.8717,689.7258
87.48646,230.675
82.50944,419.9551
78.34815,33.64074
73.66481,540.1464
67.76234,555.6968
60.98523,50.75743
55.79062,56.11252
47.7729,546.7994
42.86712,207.057
36.58282,211.4782
91.92197,15.76253
97.3056,243.4659
101.2799,251.8274
104.6883,139.4928
107.1471,292.29
108.7383,315.1519
110.365,2.312159
112.5187,39.84699
114.5363,21.67682
115.9851,35.60796
116.8356,206.3046
117.0663,52.15873
117.0429,1.922944
117.304,54.83749
117.7673,235.7909
118.2648,0.9868015
119.0899,38.0484
117.8284,276.0485
115.711,48.61904
112.8017,1.208544
109.9171,70.14079
107.7844,109.694
107.0616,609.5109
107.9537,511.3306
113.5533,40.62257
117.7574,176.3089
123.8178,188.8933
123.8691,28.88503
122.5958,176.1973
120.2846,665.9002
116.0788,167.6585
109.3322,153.4789
98.50264,140.2091
108.5963,192.5371
122.508,258.5341
136.5125,53.43403
146.1355,22.3168
149.2139,236.7194
143.7552,31.09752
128.5319,6.66507
114.5064,262.5015
102.2785,223.6797
93.19242,21.34505
86.76592,630.6238
80.89199,56.99475
74.76585,57.6307
67.88975,50.71909
61.00128,31.9108
56.0901,114.2981
50.29479,44.69857
47.07571,453.2816
42.26856,24.95079
29.15001,49.0403
27.1185,298.5345
21.80632,16.24277
97.35671,28.29674
101.7659,555.6836
104.8656,180.5471
107.3676,301.4749
108.8764,39.12152
109.6654,226.7895
110.7861,95.38906
112.673,47.52205
114.7168,43.29832
117.8875,283.8066
118.6136,41.43965
119.1132,671.5865
119.6644,60.52816
119.9706,5.326053
120.0825,441.3381
120.3567,33.83348
120.5944,295.2233
120.5176,94.60976
119.5874,187.5328
110.2835,567.4835
107.7581,21.56905
106.7718,54.86081
107.7144,16.55152
110.0773,23.78108
114.0649,50.197
118.6688,421.0406
122.3888,58.38103
124.5566,69.85762
124.3918,10.57882
122.5997,8.321157
119.5946,353.2154
114.8473,104.2113
107.5858,12.9118
99.07681,66.43447
92.72901,184.3441
94.14749,330.7581
103.0187,391.6924
116.858,334.5692
132.0066,123.1155
143.7665,119.9596
149.8436,14.82017
154.7059,459.4465
140.0314,0.3619228
125.5097,29.67722
111.5581,95.91785
99.90251,114.515
91.09373,3.95592
83.25267,70.60169
75.6946,253.0481
68.17772,39.43908
61.39412,624.5984
56.23107,610.8783
52.3336,56.32
49.18266,404.193
45.42235,364.5066
40.62097,0.8736807
35.48456,47.87366
31.14901,65.41429
28.94679,52.19604
27.01187,391.6921
24.34433,40.21116
21.2703,260.3098
95.03643,168.4169
100.7422,19.93299
104.5163,9.991579
107.1636,194.6276
109.0408,87.87695
109.8298,153.4377
110.278,35.57208
111.2055,27.67754
112.9337,269.4429
115.0426,57.25662
118.6244,179.6059
119.5649,309.3521
120.4395,399.329
121.4314,476.9119
121.8807,68.18675
121.8485,360.2967
121.8951,362.2758
122.1218,86.53342
122.0736,50.25855
121.1474,175.42
118.7908,464.9314
115.1033,31.9522
111.263,57.78286
108.2802,38.28798
106.8259,73.46904
107.6172,624.9474
110.1773,424.5596
114.5459,112.3717
119.3544,103.1659
123.2279,0.8924688
125.324,48.27903
124.944,158.3372
122.8599,455.7923
119.267,16.35477
114.1154,741.3077
106.801,26.76254
98.73662,267.8345
91.72038,504.9265
87.20386,271.6334
85.542,36.43573
90.42242,213.991
98.42786,198.2676
112.3031,52.09076
128.7831,44.66103
142.6817,369.9985
151.0918,312.8756
148.3457,258.0837
135.0691,410.6016
120.9849,192.8316
107.4839,28.40645
96.15186,624.2706
86.33484,30.95826
77.19007,39.33726
69.12879,6.456884
61.92837,93.5845
55.92199,213.9394
51.46685,207.6764
47.53045,214.092
43.34576,85.43768
38.61596,396.431
34.31897,208.0233
31.03093,669.3166
29.13482,353.9164
27.6167,49.05577
24.77886,30.96556
21.4033,35.80971
19.70268,20.20124
102.2431,457.1012
105.7529,156.8368
108.2237,19.90214
109.8743,51.67812
110.36,32.20411
110.7355,45.88056
111.7816,168.6694
113.5493,122.9216
115.6874,235.843
117.715,343.5494
119.2378,166.4478
120.2227,101.1854
121.3021,28.8667
122.6751,103.5938
123.4528,322.46
123.4887,51.7481
123.3983,31.67535
123.6423,23.8538
123.6017,145.6568
122.5863,50.67691
120.4115,45.50285
116.8642,262.7602
112.8054,50.29663
109.4671,17.00938
107.7989,325.6967
108.2031,386.6555
110.8419,53.3721
115.2113,131.1806
120.2027,23.54147
124.4057,2.833916
126.8574,45.55618
126.8398,186.7236
124.5832,131.0692
120.6049,38.11609
115.2594,261.3281
108.3484,247.0155
100.3048,734.085
92.38104,287.8095
86.97596,125.5338
84.59367,25.24028
85.02956,28.39235
88.32421,52.13631
96.16469,227.85
110.405,67.75793
128.4532,588.3168
144.3931,14.84858
154.8636,119.6096
152.8425,444.0656
141.5192,300.4053
127.9138,124.7902
113.4342,154.2079
100.3713,147.1828
88.91244,27.89205
78.94858,32.70807
70.61662,1.621549
62.58928,163.3539
56.06716,43.78449
51.07042,113.2404
46.52369,84.07571
41.9245,87.26044
37.52382,692.8303
34.29295,395.8828
32.24857,231.9069
30.64297,134.8332
28.97181,62.638
25.83717,78.49432
22.34307,34.80324
20.45408,74.09879
20.58032,35.75358
102.3823,353.3404
105.9155,276.8278
108.4831,15.64839
110.1083,103.0242
110.565,42.36443
111.0538,137.8756
112.4018,549.2988
114.4151,37.32048
118.557,200.5469
119.9984,83.39278
120.9754,334.7873
122.0783,425.7301
123.5169,283.0525
124.5504,27.44737
124.8383,218.2678
124.7532,2.764414
124.8267,4.304101
124.6588,253.1246
123.7831,40.80669
121.7655,260.2863
118.6786,630.3319
114.941,28.83275
111.6446,70.60265
109.5901,132.1914
109.6794,202.2669
112.0831,34.68932
116.317,37.15492
121.3167,382.2867
125.9062,189.0329
129.1122,35.42926
129.9073,271.7641
128.1545,169.9018
124.2655,32.59167
119.1187,375.5735
112.8608,46.4988
104.7026,302.1497
95.64563,352.2813
89.03077,237.5073
86.2452,87.63769
86.54819,144.6242
90.10827,245.2576
98.1134,324.9328
112.6812,286.25
131.9535,18.52784
149.5771,48.76809
161.845,149.4702
143.7105,4.804804
130.0195,28.38927
115.1905,20.86843
101.6693,289.9609
80.35834,202.2847
72.24145,211.6893
63.93236,212.0948
56.71464,56.76228
51.3704,291.7072
46.65404,131.5108
42.2697,601.5929
38.44822,359.0124
36.28419,72.75172
34.7255,24.58877
33.00406,58.10817
30.64367,397.0081
27.17973,19.69926
23.48514,301.2365
21.52517,38.23565
22.20618,98.92278
23.12921,368.6151
23.68677,18.68462
97.22468,419.2227
102.1011,110.3791
105.731,679.9417
108.3973,125.8453
110.137,118.1559
110.5954,85.80124
111.2749,26.61012
112.7943,238.2469
114.8451,84.77059
119.1504,438.8253
120.6909,42.27259
121.7299,220.2086
122.7542,337.5335
124.0361,59.9356
125.1977,125.9668
125.8019,320.6054
126.0047,31.07544
126.0376,196.1332
125.5788,37.14022
124.6976,37.38267
123.0617,316.7565
120.4915,290.9256
117.3996,191.4304
114.3688,435.1892
112.225,75.5271
112.1189,40.13277
114.3785,30.57354
118.3617,605.5191
123.0751,41.41187
127.8353,20.3539
131.7532,699.8999
133.556,474.1448
132.3703,534.3635
129.0371,211.6605
124.5601,241.2953
119.2335,41.69053
112.1149,96.72789
103.5302,517.6397
96.22398,357.7419
92.63297,58.42856
92.74393,195.8739
96.68842,292.6754
105.0884,72.43582
119.4661,44.63855
138.6623,47.37268
156.3581,307.2134
169.246,194.7511
127.492,130.9884
113.1272,628.0994
100.6619,50.92174
89.42127,27.4912
81.8033,268.7966
73.97244,40.98312
65.60979,18.55972
58.06767,36.02659
52.83454,37.49588
48.75832,93.89299
45.10041,64.91716
41.66361,20.68079
38.97511,116.3538
37.31651,448.0538
35.63781,177.2903
33.0933,167.9353
29.36072,215.0988
25.41498,76.08171
23.35688,26.44309
24.63963,126.3158
26.2955,444.3889
27.77221,388.4901
29.75075,16.38982
23.54687,48.68152
24.09382,74.06959
101.8798,199.9859
105.7627,211.0264
108.6419,630.9026
110.5135,56.66442
111.0785,400.0539
111.6261,397.8861
112.9789,22.60614
114.905,172.9883
116.9465,72.63518
118.9622,361.8587
120.7636,351.2958
122.2195,203.3915
123.4401,52.30545
124.6028,31.90273
125.6874,29.24036
126.6826,128.7068
127.5064,26.23303
127.5827,28.6906
126.732,799.6456
125.7592,333.7347
124.3171,476.1802
122.4428,510.0399
120.0635,79.30432
117.5948,236.1678
115.8371,53.99196
115.8672,72.5057
118.1195,62.29796
121.8252,416.5488
126.1832,20.62246
130.7103,41.98652
134.7621,725.8245
136.679,429.0303
135.9535,121.5943
133.3275,43.18215
129.9569,238.7746
126.013,40.75901
120.984,11.99838
115.0153,96.36237
109.018,19.24195
105.1256,71.72459
104.8935,25.85118
108.8009,354.4438
117.0268,630.8033
129.9927,125.2064
146.6674,1014.614
162.2343,50.93801
175.2551,64.96652
124.7495,219.8992
111.0507,487.1375
100.3563,386.9556
91.66807,31.31943
83.97829,579.475
75.45763,220.8679
67.02751,387.6619
59.51739,21.29317
54.16121,625.3426
50.63632,165.27
47.68875,8.044324
44.49463,14.5073
41.42048,113.3927
39.48516,44.6114
38.16768,224.8472
36.18096,36.28614
32.94069,75.90317
29.00904,0.3895428
27.18604,653.5688
28.50386,419.1828
30.78377,390.9352
32.70618,344.7881
34.74564,138.9094
36.6501,62.06966
24.53888,29.75202
24.9373,0.7606989
102.7206,8.68791
107.0582,82.67538
110.1429,649.5247
112.0101,248.5133
112.3404,248.6635
112.487,26.11232
113.4605,35.05796
114.9842,247.4482
116.7108,59.03086
118.6299,269.617
120.6825,719.884
122.5467,66.63153
124.207,2.550137
125.5207,302.1105
126.6133,311.075
128.8566,253.6031
128.9472,523.459
127.8813,19.31375
126.5214,49.2246
125.1914,71.0058
123.9546,375.8561
122.4137,79.24136
120.828,701.0342
119.9623,457.8284
120.6711,218.3297
122.9766,29.0537
126.0944,57.27346
129.7667,282.5219
133.779,42.24789
137.2384,11.29073
138.8742,463.2962
138.9277,30.27629
138.0971,625.8084
136.2874,224.0745
133.6553,48.718
130.6359,177.9161
127.559,60.20421
124.2488,61.03536
121.4608,128.6852
121.3959,32.76715
125.1889,52.69194
132.2467,451.8411
143.0607,105.0071
155.8322,491.0754
168.4681,39.73188
156.9931,478.5483
139.7211,74.41816
123.6973,52.6457
110.8846,248.3621
102.5069,9.650394
95.35741,179.0667
86.31541,376.5803
76.1773,24.00603
67.33632,66.35749
60.17033,376.9274
54.9368,38.95588
51.42397,35.68249
48.60714,50.07811
