MLD,activity
2206,0.187294427215487
2194,0.169734904270987
2337,0.129820648638602
2476,0.0957642725598527
2436,0.109099662975445
2241,0.143759571209801
2178,0.16676267281106
2133,0.131280076997113
2140,0.132001529344294
1622,0.224020687673594
1188,0.288730411935817
1258,0.254278273809524
1353,0.214474429137573
1571,0.2271905622681
1847,0.187983399358612
1977,0.159402477072894
1826,0.146828844483058
1744,0.197224880382775
1889,0.132584055624345
1834,0.18532164907389
1792,0.172917868820927
1739,0.125755287009063
1980,0.156829360575104
1997,0.144369219033089
1938,0.168782458165032
1869,0.142954126660848
1855,0.139104873885833
1948,0.144027433796914
1962,0.153316350599113
2044,0.201852382316433
2017,0.15303628501598
1901,0.139067680905013
2018,0.141387419165197
2102,0.143585719890153
1876,0.154335873444584
1898,0.15001445225937
1956,0.155207624234173
1725,0.120462361482614
1853,0.0597953628085985
1937,0.0588630689456501
1896,0.0678237902084709
1897,0.109449875407322
1815,0.124847346171912
1720,0.144955178333015
1543,0.190485325148667
1763,0.144195103857567
1749,0.183616346333271
1743,0.110579576816927
1693,0.154619970193741
1729,0.173621601208459
1688,0.186052921719956
1686,0.14572633895818
1638,0.202387720295623
1781,0.142804188675748
1864,0.155988857938719
1922,0.113688247648617
2071,0.124266964535046
1954,0.133433283358321
2066,0.0871476349737219
2126,0.0781353840311402
2242,0.0850744870233299
2117,0.115297663903542
1977,0.123548448505616
1892,0.100583364697027
1947,0.103131445715357
1960,0.137094499294781
1992,0.143046860178334
2017,0.120101019549153
2048,0.13100804189265
2020,0.132384014699127
2049,0.105668429353372
2002,0.104092692954588
2022,0.134442782348542
1977,0.142883583194522
1992,0.140286414169964
1911,0.129613895969036
1793,0.127663568947714
1536,0.156825696740671
1564,0.106514994829369
1559,0.177669264719692
1500,0.200056888214658
1364,0.244344316155074
1298,0.259118541033435
1302,0.245155692663646
1401,0.235450488939523
1415,0.175496068888057
1557,0.140157480314961
1690,0.127892926851938
1676,0.126728547073309
1626,0.179803884593626
1697,0.135707591377694
1697,0.0878570077548704
1604,0.121930406750735
1720,0.106287003101212
1764,0.061216766013814
1814,0.0164721385542169
1791,0.051751817924261
1820,0.0348715009076144
1863,0.0499619337647507
1932,0.0956439393939394
1868,0.0677524429967427
1879,0.0418682545589877
1834,0.0464919695688926
1922,0.0303088067098742
1836,0.0205796280562636
1970,0.0493083654841442
1986,0.0278244631185808
1965,0.0771746239372139
1922,0.0741711931073235
1919,0.043644146659222
1851,0.0977950959893556
1854,0.107612037640921
1893,0.165560437505843
1883,0.191848077813803
1724,0.26098696461825
1451,0.294679031241559
1172,0.380420976229359
981,0.407607204900795
958,0.430534351145038
