MLD,Total_active_ants
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.10E+01
1.00E+01,5.20E+01
1.00E+01,5.20E+01
1.00E+01,5.30E+01
1.00E+01,5.30E+01
1.00E+01,5.30E+01
1.00E+01,5.30E+01
1.00E+01,5.30E+01
1.00E+01,5.50E+01
9.00E+00,5.70E+01
9.00E+00,5.70E+01
9.00E+00,5.70E+01
9.00E+00,5.70E+01
9.00E+00,5.60E+01
9.00E+00,5.60E+01
9.00E+00,5.30E+01
9.00E+00,5.30E+01
9.00E+00,5.30E+01
9.00E+00,5.40E+01
9.00E+00,5.80E+01
9.00E+00,5.90E+01
9.00E+00,5.90E+01
9.00E+00,5.80E+01
9.00E+00,5.70E+01
9.00E+00,5.70E+01
9.00E+00,5.90E+01
1.00E+01,5.90E+01
1.00E+01,5.80E+01
1.00E+01,5.90E+01
1.00E+01,5.80E+01
1.00E+01,5.70E+01
1.00E+01,5.50E+01
1.00E+01,5.40E+01
1.00E+01,5.50E+01
1.00E+01,5.50E+01
1.00E+01,5.30E+01
9.00E+00,5.30E+01
9.00E+00,5.30E+01
9.00E+00,5.20E+01
8.00E+00,5.20E+01
8.00E+00,5.10E+01
8.00E+00,5.20E+01
8.00E+00,5.10E+01
8.00E+00,5.20E+01
8.00E+00,5.30E+01
8.00E+00,5.30E+01
8.00E+00,5.30E+01
8.00E+00,5.30E+01
8.00E+00,5.30E+01
8.00E+00,5.20E+01
8.00E+00,5.20E+01
7.00E+00,5.10E+01
7.00E+00,5.20E+01
7.00E+00,5.20E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.30E+01
7.00E+00,5.40E+01
7.00E+00,5.40E+01
7.00E+00,5.50E+01
7.00E+00,5.60E+01
7.00E+00,5.70E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.80E+01
7.00E+00,5.70E+01
7.00E+00,5.70E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
7.00E+00,5.90E+01
6.00E+00,5.90E+01
6.00E+00,6.00E+01
6.00E+00,6.00E+01
6.00E+00,6.00E+01
6.00E+00,5.90E+01
6.00E+00,5.90E+01
6.00E+00,5.60E+01
6.00E+00,5.70E+01
6.00E+00,5.40E+01
7.00E+00,5.40E+01
7.00E+00,5.50E+01
6.00E+00,5.50E+01
6.00E+00,5.50E+01
6.00E+00,5.60E+01
6.00E+00,5.60E+01
6.00E+00,5.60E+01
6.00E+00,5.70E+01
6.00E+00,5.70E+01
6.00E+00,5.90E+01
6.00E+00,5.90E+01
6.00E+00,6.00E+01
6.00E+00,5.90E+01
6.00E+00,6.00E+01
6.00E+00,6.00E+01
6.00E+00,6.00E+01
6.00E+00,6.00E+01
6.00E+00,5.80E+01
6.00E+00,5.60E+01
6.00E+00,5.60E+01
6.00E+00,5.60E+01
6.00E+00,5.70E+01
6.00E+00,5.70E+01
6.00E+00,5.70E+01
7.00E+00,5.70E+01
7.00E+00,5.70E+01
7.00E+00,5.70E+01
7.00E+00,5.70E+01
7.00E+00,5.50E+01
7.00E+00,5.20E+01
8.00E+00,5.10E+01
8.00E+00,5.10E+01
8.00E+00,5.10E+01
8.00E+00,5.00E+01
8.00E+00,4.70E+01
8.00E+00,4.70E+01
8.00E+00,4.70E+01
8.00E+00,4.60E+01
8.00E+00,4.60E+01
8.00E+00,4.60E+01
8.00E+00,4.60E+01
